index,Score,Score Rank,Percentile,Percentile Rank
HASPIN,3.7245,16,99.62,1
CDK9,5.2921,3,98.94,2
NUAK2,3.594,20,98.91,3
ERK7,5.454,2,98.81,4
NUAK1,3.2161,25,98.62,5
CDK4,5.5325,1,98.4,6
NLK,3.4682,22,96.77,7
CDK10,4.6808,6,96.68,8
ERK2,4.3448,8,96.24,9
CDK14,4.7862,5,96.06,10
NEK11,0.1159,78,96.05,11
PKCI,1.6256,42,95.79,12
CDK12,4.4173,7,95.32,13
ERK1,4.9349,4,95.02,14
CDK5,4.2512,10,94.82,15
LRRK2,-0.2801,95,94.12,16
CDK6,4.0681,11,93.94,17
CDK2,2.9354,28,93.91,18
NEK3,-0.1817,89,93.53,19
PINK1,1.2636,48,93.53,19
MEK5,-0.4747,109,93.1,21
HIPK3,3.9092,14,92.92,22
PKN1,0.9899,53,92.76,23
ERK5,2.4995,31,92.48,24
CDK19,3.9532,12,92.45,25
CLK1,2.7772,29,92.43,26
CDK17,4.3278,9,91.83,27
CDK13,3.4661,23,91.59,28
PKCE,0.6261,59,91.2,29
ANKRD3,0.187,76,91.17,30
CDK7,3.7016,17,90.92,31
CDK16,3.9396,13,90.76,32
P38A,3.6686,18,90.66,33
PKR,-0.0497,88,90.55,34
PHKG1,0.4247,64,90.17,35
MEKK1,-0.364,100,90.02,36
RIPK1,0.5036,62,89.91,37
PKCH,0.3888,68,89.67,38
KIS,3.0664,27,89.57,39
CDK8,3.3274,24,89.46,40
IRAK1,-0.4392,106,89.33,41
PKCG,0.4232,65,89.2,42
IRE1,0.1115,79,89.16,43
CDK3,2.1824,33,88.92,44
CDK18,3.8053,15,88.71,45
RIPK2,-1.2974,143,88.7,46
PKCA,0.5228,61,88.68,47
HIPK1,3.4709,21,88.63,48
HUNK,-0.0268,85,88.12,49
AAK1,-1.5349,159,88.05,50
WNK1,0.7302,56,87.86,51
NIM1,0.0965,80,87.72,52
WNK3,0.3075,74,87.39,53
DYRK3,2.2793,32,87.34,54
PKCZ,0.4003,67,87.3,55
CLK3,1.6073,43,87.22,56
PKN2,0.3586,70,86.75,57
BIKE,-1.6817,165,86.72,58
MST4,0.3328,72,86.6,59
WNK4,0.0065,84,86.58,60
ULK3,-0.625,113,86.37,61
CHK2,0.0592,81,85.89,62
RIPK3,-0.1896,90,85.84,63
MYLK4,0.3808,69,85.59,64
MEKK6,-2.0733,191,85.39,65
PRP4,1.3357,45,85.37,66
NEK6,0.0327,82,85.28,67
CDKL2,1.2745,47,85.28,67
WNK2,0.4074,66,85.06,69
NEK7,-0.2402,92,84.91,70
MLK3,-0.3557,99,84.65,71
MOK,1.8016,40,84.61,72
PHKG2,-0.9571,122,84.58,73
PKCT,-0.4313,103,84.16,74
SMMLCK,-0.3045,96,84.15,75
STK33,-0.98,124,84.02,76
HRI,-0.6657,116,83.78,77
NIK,0.4807,63,83.21,78
KHS2,-1.3355,146,83.2,79
MNK1,-0.2646,94,82.97,80
TLK1,-0.655,115,82.92,81
HPK1,-1.3648,149,82.86,82
SNRK,-1.2537,139,82.86,82
CDKL1,1.1755,49,82.79,84
CAMK1G,-0.4316,104,82.75,85
CDKL5,1.1026,52,82.59,86
MST3,-0.71,118,82.45,87
PKCB,-0.4027,101,82.36,88
P38D,3.0801,26,82.35,89
HIPK2,2.6082,30,82.11,90
P38G,3.5952,19,82.06,91
QIK,-0.4311,102,81.89,92
CLK4,1.1558,51,81.42,93
NEK4,-1.3066,144,81.31,94
HIPK4,1.8688,38,81.23,95
SRPK3,0.7217,57,81.14,96
ICK,0.6177,60,81.03,97
MTOR,0.7568,55,80.97,98
MLK1,-0.4361,105,80.57,99
TAO1,-2.3302,203,80.51,100
DYRK1A,1.7398,41,80.32,101
CK1G3,-0.3254,98,80.27,102
CAMLCK,0.3493,71,79.98,103
CAMK1A,-1.0656,127,79.66,104
DYRK1B,2.1025,35,79.57,105
MEKK2,-1.1236,133,79.56,106
TAO2,-1.4823,157,79.12,107
PKCD,-0.2328,91,78.98,108
BUB1,-1.0924,130,78.86,109
CDK1,2.1111,34,77.86,110
MLK4,-1.3291,145,77.7,111
NEK2,-0.4863,110,77.28,112
DYRK2,1.9436,37,77.26,113
SRPK1,0.881,54,76.87,114
MEKK3,-1.1297,134,76.74,115
MAP3K15,-1.849,180,76.37,116
PIM2,-0.5584,111,76.26,117
SRPK2,0.1203,77,75.86,118
MNK2,-0.4643,107,75.84,119
CK1G2,-0.7039,117,75.23,120
IRAK4,-1.028,125,75.05,121
NEK9,-0.5805,112,75.02,122
IRE2,-1.1702,136,74.58,123
LOK,-1.8508,181,74.39,124
MAPKAPK5,-1.463,155,74.25,125
SLK,-2.0543,188,73.83,126
CK1G1,-0.8528,120,73.75,127
PDHK4,-0.2573,93,73.42,128
P38B,1.9888,36,73.4,129
MYO3B,-3.0227,239,73.3,130
YSK1,-2.5989,215,72.76,131
MYO3A,-3.3383,258,72.74,132
PERK,-1.412,153,72.53,133
CK1A2,0.0098,83,72.3,134
JNK2,1.8252,39,72.27,135
JNK3,1.5028,44,71.86,136
MST1,-1.9408,186,71.85,137
SBK,-1.0979,131,71.47,138
DYRK4,1.1746,50,71.39,139
MRCKB,-1.9596,187,71.34,140
CAMK1B,-0.0321,86,71.14,141
GAK,-2.1126,193,71.13,142
NEK8,-1.9035,183,71.12,143
SKMLCK,-1.6279,164,71.06,144
ZAK,-1.8212,178,70.69,145
GSK3A,1.2951,46,70.6,146
MAK,0.1913,75,69.9,147
PRKD3,-1.0828,129,69.75,148
PKN3,-0.0357,87,69.51,149
ASK1,-3.6349,272,69.45,150
JNK1,0.7093,58,69.43,151
