index,Score,Score Rank,Percentile,Percentile Rank
PINK1,3.3665,4,99.67,1
IRE1,1.823,25,97.91,2
SNRK,1.5392,32,97.79,3
SRPK3,4.0913,1,97.49,4
CDKL1,3.4423,3,97.29,5
GAK,0.348,65,96.66,6
PBK,1.0049,43,96.16,7
PIM3,2.772,8,96.09,8
SRPK1,3.8123,2,95.43,9
SRPK2,3.3657,5,95.22,10
IRE2,1.0209,42,95.15,11
CDKL5,3.0835,7,95.12,12
MPSK1,1.5446,31,94.84,13
PIM2,2.5806,12,94.78,14
NEK8,-0.0135,97,94.7,15
CLK3,2.5265,13,93.56,16
CDKL2,2.7628,9,93.51,17
PHKG2,0.6041,51,93.05,18
YANK3,1.2985,34,92.77,19
ICK,2.7395,10,92.06,20
EEF2K,-0.4257,122,91.96,21
CHK2,1.5757,29,91.64,22
BIKE,-0.9511,159,91.6,23
PIM1,2.0407,20,91.45,24
STK33,-0.1595,107,91.3,25
DCAMKL2,0.9679,44,90.88,26
SBK,2.3707,14,90.76,27
NUAK2,1.2459,35,90.16,28
NIM1,0.3186,69,89.67,29
IRAK4,0.3188,68,89.62,30
BUB1,0.24,74,89.54,31
ATR,0.4617,61,89.35,32
PKCZ,0.618,49,89.05,33
AKT2,1.3702,33,89.02,34
PAK2,0.5762,54,88.96,35
PKN1,0.0725,86,88.82,36
RIPK2,-1.2851,190,88.79,37
WNK3,0.4418,62,88.7,38
PKCE,0.1499,78,88.66,39
PKCI,0.0524,88,88.37,40
AKT1,0.8192,45,88.32,41
HIPK3,3.1395,6,88.24,42
IKKA,0.3196,67,88.18,43
HRI,-0.3896,120,87.57,44
MEKK3,-0.5453,131,86.91,45
MELK,0.5195,56,86.87,46
CAMK1B,1.2345,36,86.87,46
MEK5,-0.9205,154,86.8,48
NIK,0.7068,47,86.67,49
TSSK2,0.581,53,86.61,50
CAMK1G,0.129,81,86.53,51
AAK1,-1.8001,226,86.46,52
CK1G1,0.0455,90,86.11,53
IRAK1,-0.7852,149,86.05,54
AMPKA2,0.615,50,85.97,55
CAMK1A,0.0287,92,85.88,56
PAK3,0.233,75,85.84,57
WNK4,-0.0816,102,85.68,58
SMMLCK,-0.1116,103,85.67,59
PAK1,0.3535,64,85.61,60
DMPK1,-0.7393,144,85.59,61
PKCH,-0.1882,109,85.56,62
LKB1,-0.7534,146,85.52,63
CHAK1,-0.1653,108,85.46,64
MYLK4,0.3443,66,85.36,65
P70S6K,0.0774,85,85.3,66
MOK,1.8806,23,85.13,67
MAK,2.2047,18,85.08,68
DYRK3,1.9471,21,84.95,69
CK1A2,0.5918,52,84.89,70
MRCKB,-0.286,115,84.65,71
BRSK2,-0.5304,130,84.64,72
DAPK2,0.7419,46,84.41,73
CAMK4,-0.0063,96,84.35,74
CDK10,1.9404,22,84.31,75
LRRK2,-1.3157,192,84.18,76
AKT3,-0.3971,121,84.1,77
AMPKA1,0.3667,63,83.98,78
CDK13,2.6571,11,83.46,79
BRSK1,-0.508,128,83.45,80
NUAK1,-0.2972,116,83.45,80
WNK1,0.308,71,83.25,82
CHK1,0.2985,72,83.19,83
PKACA,-0.2805,114,82.92,84
CLK2,1.8311,24,82.87,85
IKKB,0.2728,73,82.86,86
MASTL,-0.3864,118,82.86,86
CAMK1D,0.0292,91,82.64,88
CRIK,-0.9445,155,82.64,88
MEKK2,-0.9494,158,82.56,90
KHS2,-1.4299,198,82.16,91
RIPK1,-0.2132,110,81.92,92
MEKK6,-2.3619,256,81.88,93
CDK6,2.2003,19,81.88,93
CLK1,1.1015,39,81.74,95
PLK4,-1.5838,211,81.67,96
PHKG1,-0.6504,138,81.65,97
RAF1,0.1041,83,81.59,98
PRKD3,0.1219,82,81.57,99
PKCT,-0.7731,147,81.33,100
DCAMKL1,0.2208,76,81.28,101
CDK12,2.262,16,81.08,102
MYO3B,-2.3943,259,81.01,103
PDK1,-1.0464,170,80.97,104
TSSK1,-0.021,99,80.93,105
HASPIN,-1.8766,230,80.75,106
PKCG,-0.6093,136,80.61,107
CLK4,1.0665,40,80.61,107
DYRK1B,2.2249,17,80.5,109
WNK2,0.0279,93,80.44,110
PERK,-0.9732,164,80.31,111
MSK2,-0.503,126,80.15,112
RSK3,-0.1294,105,80.1,113
MEK1,-0.9473,156,79.87,114
PASK,-0.5721,133,79.8,115
MAPKAPK5,-0.9487,157,79.75,116
CAMLCK,0.3083,70,79.67,117
AURB,-1.0055,168,79.57,118
HIPK1,2.2627,15,79.53,119
DYRK1A,1.6233,28,79.3,120
P90RSK,0.0532,87,79.22,121
NDR1,-0.2641,113,79.0,122
HGK,-1.6917,220,78.93,123
NEK4,-1.4762,200,78.92,124
ANKRD3,-0.5747,134,78.9,125
PRPK,0.1476,79,78.61,126
MAPKAPK3,-0.0701,101,78.37,127
PKCB,-0.8172,150,78.06,128
CDK5,1.8212,26,78.04,129
CDK9,1.5679,30,78.01,130
