index,Score,Score Rank,Percentile,Percentile Rank
TLK1,2.274,8,98.89,1
TGFBR2,2.1434,10,98.2,2
ACVR2A,3.0092,2,97.31,3
BMPR1A,3.707,1,97.22,4
ALK1,2.3857,7,97.02,5
PDHK1,0.9722,16,96.89,6
ALK2,2.741,5,96.48,7
TGFBR1,2.9992,4,96.35,8
ACVR2B,2.572,6,96.15,9
HRI,0.7049,18,96.12,10
BMPR1B,3.0054,3,95.5,11
ALK4,1.7523,11,94.92,12
GRK4,1.5673,13,93.2,13
BMPR2,0.6488,19,93.07,14
DSTYK,1.19,14,93.02,15
GRK3,1.5898,12,92.91,16
CK1G2,1.0718,15,92.74,17
ALK7,2.1949,9,92.43,18
GCN2,0.3125,23,92.42,19
ANKRD3,0.2488,25,91.9,20
TLK2,0.5722,21,90.0,21
GRK2,0.7994,17,89.16,22
ATM,0.5744,20,88.53,23
TTBK1,-0.5169,32,87.56,24
BCKDK,-0.3899,29,87.16,25
PERK,-0.4871,30,87.11,26
NEK7,-0.2278,27,85.09,27
ZAK,-0.9774,47,84.1,28
STLK3,-3.665,161,80.26,29
GRK5,0.2776,24,80.1,30
MEKK1,-1.0476,50,79.91,31
EEF2K,-1.7605,73,79.84,32
CK1A2,0.3233,22,79.56,33
GRK1,0.1656,26,79.41,34
RIPK2,-2.2883,91,78.81,35
CK1D,-0.3546,28,78.31,36
YSK4,-1.1212,53,76.74,37
MLK1,-0.6426,36,76.64,38
PLK2,-0.7993,41,76.53,39
PLK1,-0.5359,33,75.47,40
MST2,-2.2045,88,74.94,41
MARK2,-1.4557,65,73.64,42
TTBK2,-0.838,43,72.11,43
CK1A,-0.6712,38,70.49,44
ULK3,-2.0542,82,69.68,45
PLK3,-0.9376,46,69.66,46
CK2A2,-2.3531,95,69.47,47
NEK6,-1.0438,49,69.46,48
ULK1,-1.8702,77,69.44,49
MEKK3,-1.5157,67,68.61,50
IKKB,-0.5901,35,68.29,51
MEK2,-2.9583,121,68.26,52
IKKE,-1.5446,68,68.15,53
TBK1,-1.1761,54,68.08,54
TTK,-3.5411,155,67.91,55
MARK4,-1.1792,55,67.26,56
ULK2,-1.2328,57,66.99,57
MST4,-1.2333,58,66.0,58
TSSK1,-1.2737,61,65.77,59
CK2A1,-3.0338,127,64.23,60
GRK7,-2.1721,86,64.09,61
CK1E,-0.5083,31,63.57,62
GRK6,-0.5617,34,63.5,63
TAK1,-3.0701,128,63.45,64
MLK3,-1.5583,69,63.44,65
NEK3,-2.7088,108,62.45,66
MARK1,-2.4813,99,62.37,67
KIS,-0.7988,40,62.24,68
IRAK1,-2.4919,100,61.97,69
BRAF,-1.8199,76,61.61,70
MEK1,-1.4104,64,61.55,71
FAM20C,-2.7091,109,61.48,72
NUAK1,-2.1615,85,61.21,73
MARK3,-2.6493,106,60.1,74
CDC7,-0.9252,45,59.85,75
PHKG2,-3.5351,154,59.78,76
MEKK2,-2.0408,81,58.64,77
NUAK2,-1.2453,59,58.51,78
MLK4,-2.545,102,58.07,79
NEK9,-1.4596,66,57.22,80
SIK,-2.7059,107,57.05,81
CAMK2G,-0.8529,44,56.87,82
IKKA,-1.6768,71,56.61,83
PDHK4,-0.6468,37,56.25,84
CAMK2D,-1.3815,62,56.24,85
TSSK2,-1.8175,75,55.72,86
RAF1,-0.9848,48,55.11,87
DLK,-1.0961,52,55.01,88
HUNK,-1.8932,79,54.88,89
AURA,-2.9702,122,54.4,90
OSR1,-3.9454,177,53.83,91
CAMK2B,-1.6165,70,53.82,92
BRSK2,-3.2145,140,53.68,93
CHK2,-3.3602,148,53.53,94
VRK2,-2.3051,92,53.52,95
CHAK1,-2.3758,96,53.5,96
CK1G1,-1.8905,78,53.34,97
PHKG1,-2.779,114,53.29,98
SSTK,-3.195,137,53.19,99
QSK,-2.6432,105,53.03,100
CDK8,-1.7699,74,51.48,101
YSK1,-3.9728,178,50.14,102
RIPK3,-2.5327,101,48.48,103
CHK1,-2.0258,80,46.48,104
CK1G3,-2.1449,84,45.93,105
CDK19,-2.7727,113,42.97,106
PLK4,-4.2672,189,42.16,107
CAMKK1,-3.4866,151,41.67,108
NEK8,-3.3369,146,41.41,109
RIPK1,-2.562,103,41.03,110
NIM1,-2.7491,112,40.9,111
PRKD1,-2.4236,98,40.56,112
IRE2,-3.1843,136,40.3,113
P70S6K,-4.0611,180,39.34,114
MAPKAPK5,-3.7605,168,39.08,115
RSK3,-2.976,123,38.35,116
MINK,-4.2746,190,38.2,117
AMPKA1,-2.7403,111,37.81,118
COT,-1.2546,60,37.8,119
CLK1,-2.7193,110,37.69,120
