index,Score,Score Rank,Percentile,Percentile Rank
BUB1,5.6673,1,99.86,1
TSSK2,3.208,5,98.63,2
IRE1,1.6829,19,97.57,3
PRKD1,3.0962,6,96.54,4
PRKD3,3.3834,3,96.4,5
PRKD2,3.3398,4,96.38,6
RIPK1,1.3709,27,95.96,7
HIPK4,4.3497,2,95.3,8
PERK,0.4762,48,95.18,9
MAPKAPK3,2.5407,11,94.92,10
SSTK,1.6201,21,94.82,11
BCKDK,0.5522,45,94.81,12
STK33,0.4222,50,94.68,13
GCN2,0.5985,43,94.6,14
TLK1,0.7214,39,94.45,15
CAMK1G,1.7844,16,94.18,16
TSSK1,1.857,14,94.08,17
CHK1,1.7016,17,94.02,18
PKR,0.3147,56,93.96,19
MEK5,-0.5012,107,92.79,20
DLK,0.4562,49,92.64,21
HRI,0.1204,66,92.6,22
CAMK4,1.3198,30,92.26,23
NUAK2,1.435,24,91.46,24
PKCI,0.5137,47,91.18,25
CAMK1A,1.3366,28,91.15,26
MELK,1.1864,33,90.94,27
CHK2,1.2923,31,90.69,28
MLK3,0.1981,59,90.58,29
CAMK1D,1.6875,18,90.57,30
PKN2,0.8601,37,90.29,31
PHKG2,-0.0293,77,90.04,32
MLK2,0.3918,52,89.8,33
CAMK1B,1.5679,22,89.77,34
PHKG1,0.3629,54,89.76,35
TSSK3,1.267,32,89.69,36
TSSK4,1.3331,29,89.62,37
AMPKA2,1.1509,34,89.49,38
MAPKAPK2,1.562,23,89.45,39
MAPKAPK5,0.375,53,89.06,40
AMPKA1,0.9219,36,88.44,41
PAK3,0.6314,41,88.42,42
PKN1,-0.1047,80,87.89,43
PAK2,0.3953,51,87.89,43
WNK4,0.1171,67,87.65,45
MNK1,0.3345,55,87.6,46
SBK,1.396,26,87.52,47
PKCT,0.024,74,87.46,48
PKCE,-0.0446,78,87.43,49
PAK1,0.5839,44,87.16,50
PKCH,-0.0063,76,86.95,51
MEK1,-0.6852,118,86.91,52
MNK2,0.6387,40,86.72,53
DYRK3,2.1844,12,86.69,54
PINK1,0.5258,46,86.45,55
BRSK2,-0.3096,96,86.28,56
MYO3B,-1.8392,208,86.25,57
NUAK1,0.0707,70,86.18,58
HASPIN,-1.3189,172,86.15,59
ZAK,-0.8566,130,85.62,60
MOK,1.9414,13,85.55,61
HIPK3,2.7592,9,85.54,62
NEK3,-1.1061,148,85.46,63
DYRK2,2.9554,7,85.44,64
LOK,-0.9618,137,85.41,65
PKCB,-0.0664,79,85.38,66
NIK,0.6136,42,85.34,67
SLK,-1.146,154,85.32,68
CHAK1,-0.1895,90,85.17,69
QIK,-0.1096,81,84.97,70
ULK1,-0.8952,132,84.42,71
NEK1,-1.359,176,84.4,72
PKG1,-1.3097,170,84.38,73
CRIK,-0.6968,119,84.17,74
MEKK3,-0.7511,124,83.65,75
PKCZ,-0.0036,75,83.6,76
HIPK2,2.8458,8,83.54,77
HIPK1,2.7455,10,83.48,78
NDR1,0.1949,60,83.46,79
PDHK1,-0.1383,87,83.06,80
MLK1,-0.2848,94,83.03,81
SNRK,-1.2509,163,82.89,82
OSR1,-2.0268,225,82.77,83
P70S6K,-0.3515,99,82.65,84
TLK2,-0.1269,84,82.52,85
CLK3,1.1136,35,82.5,86
SRPK2,0.8491,38,82.28,87
SRPK1,1.4341,25,82.24,88
WNK3,-0.1434,88,82.23,89
WNK1,0.2191,57,82.23,89
NEK2,-0.1456,89,82.14,91
PKCA,-0.2718,92,82.09,92
WNK2,0.1482,62,82.0,93
PASK,-0.4168,103,81.15,94
ROCK1,-1.5387,188,80.81,95
MYLK4,-0.4053,102,80.66,96
MLK4,-1.115,149,80.42,97
LKB1,-1.1245,150,80.36,98
SKMLCK,-0.6266,115,80.3,99
ULK2,-0.5273,108,79.95,100
IRE2,-0.7927,125,79.78,101
