index,Score,Score Rank,Percentile,Percentile Rank
DMPK1,4.3634,1,99.31,1
PBK,1.9392,8,98.02,2
NEK1,0.5892,37,97.58,3
DAPK3,2.5973,2,97.26,4
LKB1,0.7376,31,97.06,5
SMMLCK,2.1924,6,96.96,6
MRCKA,2.5426,3,95.98,7
DAPK1,2.3767,4,95.91,8
MRCKB,2.2583,5,95.27,9
ROCK1,1.4527,12,94.99,10
ROCK2,1.5773,9,94.89,11
CAMLCK,2.023,7,94.85,12
MEK2,-1.1429,118,94.56,13
HPK1,0.1138,57,94.32,14
MYO3B,-0.6623,90,93.85,15
CAMKK2,-0.7251,94,93.42,16
DAPK2,1.5633,10,92.78,17
SKMLCK,1.5032,11,92.39,18
ASK1,-1.3552,132,92.32,19
MEKK6,-1.3138,129,92.2,20
CRIK,0.9739,22,91.92,21
WNK1,1.1826,16,91.72,22
YSK1,-0.8699,98,91.68,23
MST3,0.1259,55,91.0,24
PASK,1.0261,19,90.68,25
MYLK4,1.2925,14,90.62,26
GAK,-0.4824,78,90.42,27
KHS1,-0.4936,79,90.2,28
TAO2,-0.6575,89,90.17,29
AURB,0.8407,26,90.07,30
PKACA,1.1424,18,89.9,31
PIM2,1.2359,15,89.6,32
DNAPK,0.7671,30,89.55,33
KHS2,-0.6289,86,89.39,34
PAK2,0.642,34,89.3,35
NEK3,-0.7231,93,89.29,36
NEK4,-0.6845,91,88.88,37
PKACB,1.008,20,88.48,38
AURA,0.3344,41,88.45,39
PKACG,0.9292,23,88.4,40
NDR1,0.8194,27,88.38,41
LRRK2,-0.965,105,88.23,42
BRAF,-0.5416,81,87.65,43
SGK3,0.9072,24,87.23,44
SGK1,0.995,21,87.06,45
PDK1,-0.5984,82,86.98,46
HGK,-1.0524,113,86.85,47
CAMK1D,0.806,28,86.81,48
MINK,-1.3478,131,86.53,49
AAK1,-1.8304,157,86.25,50
CAMK1B,1.1648,17,86.17,51
MST4,0.274,45,86.01,52
NIK,0.6609,33,86.0,53
WNK2,0.4883,38,85.93,54
AURC,0.1719,52,85.92,55
YANK2,-0.171,63,85.9,56
WNK4,-0.067,59,85.83,57
TNIK,-1.0138,110,85.8,58
ICK,1.3462,13,85.72,59
PKCI,-0.3272,73,85.64,60
MSK1,0.6097,36,85.49,61
MAP3K15,-1.2303,124,85.24,62
ULK3,-0.749,95,85.23,63
PKG1,-1.1323,117,85.13,64
PAK1,0.2414,47,84.85,65
MSK2,0.2299,48,84.8,66
BIKE,-1.938,163,84.79,67
AKT3,-0.3297,74,84.46,68
PKG2,-0.1553,62,83.97,69
MYO3A,-2.4111,199,83.66,70
CAMK2G,0.4811,39,83.49,71
CAMK1G,-0.3325,75,83.48,72
AKT2,0.3053,44,83.41,73
PAK5,-1.0022,109,83.41,73
LOK,-1.1743,121,83.08,75
RSK4,0.2689,46,82.94,76
AKT1,-0.1907,65,82.76,77
PRKX,-0.2079,67,82.74,78
PKCE,-0.7184,92,82.48,79
GCK,-1.226,123,82.43,80
CAMKK1,-1.4143,133,82.14,81
P70S6KB,0.4144,40,82.13,82
TAO1,-2.2254,184,81.78,83
PAK3,-0.2659,71,81.73,84
MEK5,-1.1894,122,81.18,85
CDKL2,0.7105,32,80.98,86
RSK2,0.3193,43,80.69,87
MEKK3,-0.9409,101,80.37,88
PAK4,-1.8055,155,79.6,89
PAK6,-0.9992,107,79.37,90
MEK1,-0.968,106,79.22,91
NEK2,-0.382,76,78.81,92
PIM1,0.2158,50,78.56,93
NEK5,-1.0006,108,78.46,94
ATR,-0.0372,58,77.42,95
QIK,-0.8636,97,77.25,96
PKCT,-1.2356,125,76.97,97
MPSK1,-0.615,84,76.75,98
DCAMKL1,-0.2249,68,76.68,99
P90RSK,-0.1958,66,76.58,100
ALPHAK3,-2.1187,175,76.1,101
MAK,0.8486,25,75.67,102
RSK3,-0.5992,83,75.66,103
CK1A2,0.1489,54,75.54,104
TTK,-3.0031,226,75.49,105
YANK3,-0.1256,61,75.13,106
P70S6K,-1.4151,134,74.71,107
NEK11,-1.7598,152,74.4,108
PKCD,-0.6274,85,73.76,109
SBK,-0.9642,104,72.78,110
MOK,0.3286,42,72.1,111
CDKL5,0.1868,51,71.99,112
CDKL1,0.1633,53,71.53,113
CLK4,0.2285,49,71.34,114
HASPIN,-2.6364,210,71.31,115
EEF2K,-2.3559,195,71.29,116
MST1,-1.9906,167,71.0,117
DRAK1,-1.1186,116,70.33,118
DCAMKL2,-1.2947,127,70.29,119
PKCH,-1.6201,145,70.28,120
CAMK1A,-2.2732,188,70.18,121
MARK4,-1.0159,111,70.16,122
MARK1,-1.9137,162,69.93,123
NIM1,-1.2534,126,69.7,124
STK33,-2.0784,172,69.61,125
PKCG,-1.5688,144,69.32,126
CAMK2D,-0.6481,88,68.7,127
HIPK3,0.7681,29,68.03,128
PKCA,-1.4578,136,67.96,129
MNK1,-1.7025,148,67.26,130
AMPKA1,-1.022,112,67.12,131
DYRK3,0.1166,56,66.82,132
CLK3,-0.0677,60,66.77,133
MNK2,-1.1561,119,66.76,134
P38A,0.6324,35,66.49,135
CAMK4,-1.8058,156,65.7,136
TAO3,-1.5501,143,64.47,137
RIPK1,-1.3217,130,64.33,138
PKN1,-2.8922,219,64.15,139
MARK2,-2.193,181,63.93,140
IRAK4,-1.8606,159,63.52,141
MEKK2,-1.8538,158,63.34,142
MARK3,-2.4424,202,63.11,143
NDR2,-1.0971,115,62.49,144
P38B,-0.3114,72,62.31,145
VRK2,-2.0875,173,61.87,146
VRK1,-3.2803,239,61.47,147
PKN2,-1.7489,150,61.08,148
AMPKA2,-1.6332,146,60.62,149
PKR,-1.4986,139,60.6,150
CLK2,-0.529,80,60.45,151
TAK1,-3.2242,233,60.22,152
CAMK2A,-0.9538,103,59.85,153
CDK14,-0.85,96,59.81,154
WNK3,-1.5166,141,59.78,155
IRAK1,-2.6339,209,59.67,156
SIK,-2.5225,206,59.66,157
CDK10,-1.4646,137,59.42,158
MELK,-1.9932,168,58.9,159
RIPK2,-3.6686,254,58.5,160
PKCB,-2.2841,190,58.48,161
ZAK,-2.4136,200,58.18,162
SNRK,-3.3159,241,57.46,163
HIPK1,-0.1797,64,57.38,164
ERK5,-0.4613,77,56.24,165
QSK,-2.4584,204,56.12,166
PKCZ,-2.0344,169,55.61,167
MEKK1,-2.1284,176,55.57,168
CDK16,-2.0885,174,54.67,169
DYRK1B,-0.9507,102,54.55,170
SLK,-3.2449,235,54.13,171
DYRK4,-0.9384,100,53.96,172
MST2,-3.2953,240,53.64,173
PRKD3,-2.2316,186,53.25,174
PHKG2,-4.1094,275,52.79,175
CLK1,-1.5155,140,52.31,176
BRSK2,-3.3407,242,51.82,177
CHK2,-3.4783,245,51.75,178
CAMK2B,-1.763,153,51.7,179
LATS2,-2.2604,187,50.8,180
PLK4,-3.7636,262,50.46,181
STLK3,-5.7408,301,49.63,182
RIPK3,-2.4705,205,49.6,183
SSTK,-3.4866,246,49.34,184
NEK8,-2.966,225,49.26,185
TSSK4,-1.957,164,48.36,186
MASTL,-1.5392,142,48.19,187
BRSK1,-3.5159,247,47.78,188
MAPKAPK5,-3.2487,236,47.56,189
CDK17,-2.6883,213,47.44,190
PIM3,-1.4769,138,46.97,191
PRPK,-0.2653,70,46.71,192
CDK18,-2.3517,193,46.52,193
ERK7,-2.8253,217,46.5,194
TSSK2,-2.3973,197,46.49,195
FAM20C,-3.7685,263,46.16,196
PLK3,-2.3536,194,45.65,197
ALK4,-1.3037,128,45.27,198
IRE2,-2.9392,222,44.71,199
ANKRD3,-1.9113,161,44.53,200
SRPK2,-2.2263,185,43.63,201
ALK2,-2.3346,192,43.63,201
CK2A1,-4.5504,288,43.41,203
CK2A2,-4.4865,287,43.21,204
RAF1,-1.4188,135,42.99,205
DYRK2,-1.6465,147,42.65,206
TSSK3,-3.8545,264,42.6,207
ERK2,-2.1377,177,42.26,208
HUNK,-2.4576,203,42.25,209
DSTYK,-2.3016,191,41.98,210
BCKDK,-2.7937,215,41.79,211
DYRK1A,-2.2029,182,40.89,212
SRPK3,-2.2222,183,40.47,213
ERK1,-2.5938,208,39.41,214
TSSK1,-3.0089,227,39.36,215
BUB1,-4.1867,280,39.23,216
LATS1,-1.9625,165,38.58,217
MTOR,-1.1669,120,38.52,218
ATM,-2.1724,179,38.29,219
JNK2,-2.06,170,37.77,220
HIPK2,-2.8644,218,37.75,221
NUAK2,-2.2775,189,37.5,222
SMG1,-1.9666,166,37.28,223
CDK3,-4.9236,291,36.86,224
PLK2,-3.6986,258,36.33,225
IRE1,-3.3666,243,34.95,226
PDHK4,-1.0948,114,34.75,227
GSK3B,-0.2318,69,34.27,228
SRPK1,-2.4091,198,33.54,229
CDK6,-3.7133,260,32.31,230
NEK9,-2.6962,214,31.83,231
ALK1,-1.8887,160,31.01,232
OSR1,-5.2293,296,30.89,233
CDK7,-2.9449,223,30.23,234
TGFBR1,-2.0642,171,29.82,235
GRK6,-2.1753,180,28.94,236
TLK1,-3.7228,261,28.62,237
