index,Score,Score Rank,Percentile,Percentile Rank
TTK,-7.2514,303,10.52,252
ULK1,-5.2845,242,10.52,252
PLK1,-4.2063,195,10.42,254
KHS1,-6.3249,287,10.27,255
TAK1,-5.9883,280,10.13,256
TSSK3,-7.1219,301,9.62,257
CK1E,-2.8734,129,9.04,258
PAK3,-5.6657,259,8.93,259
AURC,-6.5312,293,8.67,260
MOS,-1.6865,82,8.19,261
NDR1,-5.1498,233,8.13,262
ALPHAK3,-6.6333,297,8.1,263
NEK8,-5.4809,255,7.94,264
MSK1,-5.798,268,7.92,265
YSK4,-4.1491,191,7.81,266
STLK3,-8.3003,308,7.41,267
EEF2K,-5.959,277,7.39,268
PKN3,-2.961,131,7.14,269
MEKK2,-4.5681,209,7.07,270
YANK2,-4.7043,213,7.05,271
ALK7,-3.1942,142,6.97,272
MLK4,-5.9032,275,6.94,273
MNK1,-6.8367,299,6.93,274
TAO3,-4.7357,215,6.73,275
WNK2,-4.2722,198,6.64,276
YANK3,-3.0435,134,6.4,277
TSSK4,-5.1301,232,6.31,278
CK1D,-5.7961,267,6.28,279
GCK,-5.7285,262,6.14,280
MST2,-5.9647,278,5.99,281
PKACA,-7.6032,304,5.99,281
DCAMKL1,-5.445,252,5.69,283
VRK1,-6.4302,290,5.35,284
ROCK1,-8.5181,309,5.34,285
ULK2,-5.1033,231,5.34,285
LATS2,-6.1733,285,5.26,287
GRK7,-6.584,294,5.25,288
PKCG,-6.9771,300,5.19,289
CAMKK1,-6.6109,295,4.65,290
PKCB,-7.1986,302,4.52,291
RAF1,-3.3674,152,4.44,292
CHAK2,-4.8049,216,4.01,293
TNIK,-6.6276,296,3.91,294
PKCD,-5.6297,258,3.39,295
LATS1,-5.3408,246,3.18,296
MST1,-6.384,289,2.92,297
OSR1,-8.1321,306,2.79,298
ROCK2,-8.1236,305,2.68,299
RSK4,-6.8051,298,2.37,300
PAK1,-6.4934,291,2.35,301
PRKX,-9.4206,310,1.83,302
BRAF,-5.402,250,1.8,303
PKACB,-8.2469,307,1.6,304
PASK,-6.0884,282,1.6,304
VRK2,-4.0903,186,1.39,306
PIM1,-5.3514,247,1.1,307
COT,-5.4965,256,0.65,308
PIM3,-5.7529,265,0.5,309
DLK,-3.8213,177,0.42,310
