index,Score,Score Rank,Percentile,Percentile Rank
CK1G1,3.9468,4,99.84,1
CK1A2,2.8082,16,99.67,2
CK1G3,3.7264,7,99.55,3
YANK2,2.159,24,99.39,4
CK1E,2.2492,23,99.25,5
MEKK3,1.3104,55,99.24,6
TTBK1,1.831,35,99.21,7
PAK2,4.3343,2,99.16,8
DLK,1.5676,43,99.15,9
CK1G2,3.5231,9,99.07,10
CK1A,2.4737,18,99.03,11
STK33,2.0547,29,99.0,12
YANK3,2.9158,15,98.97,13
PLK4,1.7921,37,98.82,14
SNRK,2.0212,30,98.65,15
AURA,4.7358,1,98.63,16
PAK3,3.7486,6,98.52,17
MNK2,3.6796,8,98.48,18
PAK4,3.9299,5,98.46,19
PAK1,3.983,3,98.43,20
IRAK1,1.2602,57,98.4,21
MEKK6,0.2069,99,98.21,22
RIPK3,1.9489,32,98.18,23
RIPK2,0.6212,84,98.13,24
MAP3K15,0.7208,78,98.08,25
MNK1,3.1472,11,98.06,26
CHAK1,1.7556,39,97.98,27
MEK5,0.2012,102,97.95,28
TTBK2,1.4392,50,97.89,29
GCN2,1.3043,56,97.82,30
ULK1,0.844,71,97.74,31
PKCH,2.2753,22,97.52,32
RIPK1,1.73,40,97.49,33
HASPIN,1.3623,53,97.34,34
PAK5,3.0663,12,97.31,35
MLK4,1.5371,46,97.28,36
PAK6,2.955,14,97.07,37
MLK3,1.5341,48,97.0,38
AURB,3.4891,10,96.93,39
SKMLCK,3.0505,13,96.68,40
PKCT,2.0017,31,96.37,41
ZAK,0.5504,87,96.26,42
HUNK,1.0113,64,96.2,43
CK1D,2.4556,19,96.11,44
PKG1,2.1327,26,95.72,45
GRK2,1.5358,47,95.66,46
PKCD,1.9278,34,95.49,47
GRK3,2.0863,28,95.42,48
ULK2,0.7608,75,95.32,49
IRE2,1.0027,65,95.08,50
IRAK4,1.0685,61,94.92,51
ULK3,0.6726,81,94.73,52
SMMLCK,1.3951,52,94.44,53
RSK4,2.6313,17,94.17,54
AURC,2.2945,21,94.12,55
PKCG,1.3269,54,94.03,56
MEK2,-1.2245,191,94.02,57
NEK11,-0.2637,128,93.77,58
MEKK1,-0.0151,115,93.38,59
ASK1,-1.1782,188,93.29,60
CAMLCK,1.762,38,93.06,61
MEKK2,-0.1107,120,92.99,62
PKCE,0.947,67,92.63,63
P90RSK,2.2974,20,92.62,64
MSK1,2.1339,25,92.56,65
MLK1,0.5525,86,92.3,66
PKG2,1.5321,49,92.22,67
MEK1,-0.4017,135,92.12,68
RSK3,1.9288,33,92.04,69
MSK2,1.8136,36,91.92,70
DCAMKL2,1.152,59,91.87,71
WNK3,0.8145,73,91.84,72
PKACG,1.5609,45,91.43,73
WNK2,1.1127,60,91.4,74
NEK8,-0.4657,141,91.27,75
MYLK4,1.4172,51,91.21,76
PKCA,0.8715,69,91.03,77
PKCI,0.4386,88,90.76,78
GRK1,1.0005,66,90.51,79
PKCZ,0.7988,74,90.34,80
PERK,-0.2465,126,89.78,81
STLK3,-2.6386,262,89.77,82
MRCKA,0.6507,82,89.68,83
PKACA,1.0659,62,89.57,84
PDHK4,0.3005,94,89.53,85
TTK,-1.6087,216,89.43,86
RSK2,1.6486,41,89.2,87
VRK2,-0.8964,172,89.09,88
IRE1,0.1014,106,89.06,89
ANKRD3,0.0102,110,88.89,90
CAMK4,0.6753,80,88.79,91
CLK4,2.0992,27,88.74,92
MRCKB,0.4209,89,88.57,93
AKT1,0.8605,70,88.51,94
NDR1,0.8324,72,88.49,95
NIM1,0.1445,103,88.14,96
ROCK1,-0.4492,138,87.71,97
PKCB,0.2211,96,87.69,98
PLK1,0.3966,90,87.39,99
DAPK1,0.3083,93,87.33,100
DAPK3,-0.0004,112,87.31,101
CHAK2,0.2373,95,87.14,102
PHKG2,-0.5752,149,87.05,103
NIK,0.7343,77,87.04,104
CAMK1B,1.2416,58,86.94,105
CAMK1A,0.2062,100,86.71,106
NEK2,0.2061,101,86.69,107
TGFBR2,-0.0734,117,86.61,108
PKACB,0.5934,85,86.41,109
TLK1,-0.3787,134,86.04,110
CLK1,1.6441,42,86.0,111
SGK3,0.6871,79,85.85,112
DMPK1,-0.6965,157,85.84,113
BRSK1,-0.2015,124,85.65,114
CHK2,-0.0091,113,85.55,115
GRK6,0.9019,68,85.35,116
EEF2K,-1.2636,195,85.32,117
WNK4,-0.1258,121,85.2,118
YSK1,-1.6209,219,85.04,119
PDHK1,-0.0412,116,84.96,120
TBK1,-0.0115,114,84.93,121
P70S6K,0.0012,111,84.87,122
PHKG1,-0.3709,133,84.29,123
PKN2,0.0657,108,84.2,124
MAPKAPK5,-0.4582,140,83.93,125
ROCK2,-0.6684,154,83.79,126
IKKE,-0.4526,139,83.75,127
NEK3,-1.2609,194,83.64,128
AKT3,-0.4942,143,83.62,129
PKN1,-0.8404,168,83.42,130
DAPK2,0.6322,83,83.31,131
CAMK1G,-0.3618,132,83.28,132
AKT2,0.2079,97,82.85,133
SSTK,-0.5251,147,82.68,134
DRAK1,-0.4294,137,82.31,135
SGK1,0.0358,109,82.23,136
RAF1,0.1286,104,82.0,137
CRIK,-1.0495,181,81.9,138
CLK3,1.0488,63,81.86,139
DYRK3,1.5661,44,81.7,140
PRKD3,0.1069,105,81.46,141
P70S6KB,0.3088,92,81.17,142
GRK4,0.207,98,81.02,143
BMPR1A,-0.2592,127,80.58,144
BRSK2,-1.0469,180,80.23,145
HRI,-0.9321,174,79.43,146
PRKX,-0.7531,160,79.42,147
NEK4,-1.4442,208,79.35,148
CAMK1D,-0.4955,144,79.32,149
MASTL,-0.5757,150,78.58,150
LOK,-1.5452,210,78.53,151
PLK3,-0.2731,129,78.39,152
PLK2,-0.6237,152,78.22,153
ALK1,-0.1014,118,78.2,154
PASK,-0.8113,165,77.42,155
WNK1,-0.1842,123,76.91,156
VRK1,-2.5335,256,75.66,157
MST3,-1.2018,189,75.21,158
GRK7,-1.2606,193,74.57,159
DCAMKL1,-0.4257,136,74.44,160
PIM2,-0.8144,166,73.63,161
MARK1,-1.6178,218,73.38,162
BUB1,-1.643,222,72.91,163
TSSK2,-0.6768,156,72.56,164
MST4,-0.823,167,72.41,165
CAMKK1,-2.0077,244,71.92,166
NEK9,-0.7602,161,71.57,167
DSTYK,-0.7207,158,70.43,168
MLK2,-0.7718,163,69.88,169
MYO3A,-3.5559,287,69.74,170
MYO3B,-3.2923,280,69.38,171
ALK2,-1.0929,184,69.13,172
YSK4,-1.5693,212,68.56,173
ACVR2A,-0.9725,175,68.48,174
PDK1,-1.7427,229,68.48,174
BCKDK,-1.6242,220,68.38,176
BRAF,-1.5511,211,68.17,177
GRK5,-0.5193,146,67.85,178
PKR,-1.2525,192,67.46,179
TSSK1,-1.1657,186,67.22,180
BMPR2,-0.2031,125,66.83,181
QIK,-1.6574,223,66.81,182
SIK,-2.0007,243,66.67,183
NEK7,-1.3847,204,66.17,184
HIPK1,0.7377,76,65.69,185
IKKA,-1.2176,190,65.26,186
NUAK1,-1.9151,241,64.88,187
CDK12,-0.5644,148,64.38,188
PINK1,-0.8496,169,64.09,189
ACVR2B,-1.2662,196,63.97,190
QSK,-1.9588,242,63.62,191
ICK,-1.3525,201,63.48,192
NEK1,-2.6444,263,63.41,193
TSSK4,-1.0609,182,63.18,194
TAO1,-3.5332,286,63.16,195
MELK,-1.6915,227,63.11,196
GSK3B,0.3806,91,63.03,197
MARK4,-1.4262,206,62.71,198
BMPR1B,-1.0165,177,62.35,199
HGK,-2.6372,261,62.31,200
TLK2,-1.3435,200,62.3,201
LATS2,-1.5702,213,62.04,202
MARK3,-2.5466,257,61.64,203
HIPK3,0.088,107,61.58,204
CDK7,-0.6403,153,61.49,205
MAPKAPK3,-1.4345,207,60.99,206
MINK,-3.1086,274,60.81,207
NEK5,-1.896,239,60.78,208
HIPK2,-0.311,130,60.61,209
SLK,-2.8822,270,60.58,210
ALK4,-0.9175,173,60.45,211
MARK2,-2.4405,253,60.08,212
OSR1,-3.5982,290,59.9,213
PIM3,-0.8631,171,59.63,214
DYRK1B,-0.3595,131,59.51,215
PRKD2,-1.7459,230,59.04,216
MOS,-0.1564,122,59.01,217
PRP4,-1.1547,185,58.77,218
LRRK2,-2.7192,268,58.35,219
DYRK1A,-0.508,145,57.73,220
NDR2,-1.403,205,57.7,221
CDC7,-1.0434,179,56.54,222
TNIK,-2.8936,271,56.38,223
CDKL2,-1.369,203,55.18,224
ERK2,-1.3013,198,55.14,225
TAO2,-2.5829,260,55.12,226
DYRK4,-0.8529,170,54.76,227
CDK19,-1.8488,236,54.59,228
DYRK2,-0.6115,151,53.89,229
NLK,-0.1024,119,53.88,230
KHS1,-3.245,278,53.88,230
AMPKA1,-1.8369,234,53.86,232
NEK6,-1.8902,238,53.49,233
CDK13,-1.0431,178,52.96,234
CDK8,-1.6892,226,52.57,235
CDK14,-1.6097,217,52.46,236
CDKL1,-0.6747,155,52.25,237
P38G,-1.8385,235,51.99,238
SRPK3,-1.592,215,51.76,239
CLK2,-1.2723,197,51.65,240
MOK,-1.7867,232,51.61,241
CDK4,-2.1237,245,51.61,241
ALPHAK3,-3.6601,291,51.4,243
SRPK2,-1.7627,231,51.11,244
HIPK4,-0.763,162,51.09,245
MAK,-1.8105,233,50.89,246
PIM1,-1.5819,214,50.88,247
KIS,-1.7182,228,50.71,248
CDK9,-1.8589,237,50.46,249
IKKB,-1.502,209,50.19,250
CAMK2G,-1.0627,183,50.16,251
HPK1,-3.4029,283,49.76,252
KHS2,-3.6843,293,48.52,253
AMPKA2,-2.4149,252,48.23,254
CDK10,-2.6815,264,48.11,255
CDKL5,-1.3231,199,48.06,256
TAK1,-3.8005,296,47.67,257
PKN3,-0.9902,176,47.5,258
BIKE,-4.5259,304,46.5,259
ATR,-0.7297,159,45.76,260
CDK5,-2.5047,254,45.44,261
ERK1,-2.1739,246,45.34,262
CAMK2B,-2.2916,247,43.94,263
TSSK3,-3.7784,295,43.62,264
LATS1,-1.6874,225,43.36,265
SBK,-3.2359,277,42.99,266
PRKD1,-2.296,248,42.52,267
CAMKK2,-4.0232,302,42.11,268
MAPKAPK2,-2.9434,272,42.11,268
MST2,-3.8184,298,42.01,270
TGFBR1,-1.632,221,41.03,271
CDK6,-3.0534,273,40.74,272
SMG1,-1.9013,240,40.49,273
CDK3,-4.7746,306,38.95,274
CAMK2D,-2.3228,249,38.78,275
CDK17,-3.2778,279,38.58,276
GCK,-3.5598,288,38.54,277
MTOR,-1.1761,187,38.29,278
TAO3,-2.7733,269,36.84,279
CDK18,-3.157,275,36.53,280
NUAK2,-2.3528,250,36.07,281
CDK2,-3.161,276,35.76,282
COT,-1.3603,202,35.6,283
LKB1,-3.3406,281,34.31,284
ALK7,-1.6788,224,33.8,285
MST1,-3.8247,299,33.41,286
FAM20C,-4.7156,305,32.59,287
P38A,-2.3555,251,32.36,288
SRPK1,-2.5132,255,32.08,289
GSK3A,-0.4918,142,31.67,290
CDK16,-4.0649,303,31.11,291
CK2A1,-5.2516,307,30.78,292
CAMK2A,-2.7123,267,29.88,293
MPSK1,-3.3877,282,29.46,294
ERK7,-3.9003,300,29.4,295
ATM,-2.6907,266,26.79,296
AAK1,-6.5397,310,26.01,297
JNK2,-2.6873,265,24.73,298
GAK,-3.5871,289,23.78,299
P38D,-3.8032,297,23.77,300
JNK3,-2.5597,259,23.05,301
PBK,-6.229,309,22.58,302
CK2A2,-5.6917,308,21.98,303
CDK1,-3.6813,292,21.15,304
CHK1,-3.4286,284,20.92,305
ERK5,-2.5573,258,17.11,306
P38B,-3.7543,294,15.11,307
DNAPK,-3.4983,285,13.73,308
PRPK,-0.7832,164,12.27,309
JNK1,-3.9327,301,11.15,310
