Score,Score Rank,Percentile,Percentile Rank
2.7836,1,99.38,1
1.3149,3,98.68,2
-0.0227,14,97.07,3
-0.39,26,96.18,4
-0.568,30,94.29,5
-0.0598,16,94.24,6
-0.3049,23,93.96,7
-0.3633,25,92.38,8
0.5174,6,91.34,9
2.1934,2,89.93,10
0.8931,5,89.17,11
-0.8652,37,88.91,12
0.4043,7,87.61,13
-1.3364,59,86.63,14
-0.2781,21,85.94,15
-0.1154,18,85.87,16
-2.0353,102,85.8,17
-2.2939,117,84.54,18
-1.4035,64,83.37,19
-3.4702,199,82.44,20
-0.9865,43,82.34,21
-2.2725,115,82.29,22
-2.2902,116,81.97,23
0.1872,8,81.94,24
-1.4857,69,81.91,25
-2.5558,131,81.02,26
-1.7651,82,80.28,27
-0.582,32,79.8,28
-0.691,35,79.26,29
-1.1766,51,78.91,30
-1.6875,76,78.61,31
-1.8079,84,76.77,32
-0.4248,27,76.57,33
-1.9078,93,76.29,34
-0.0718,17,76.13,35
-0.6277,33,75.85,36
-1.2797,56,75.12,37
-0.5668,29,74.27,38
-1.1386,50,73.46,39
-3.3398,191,72.73,40
-0.2393,20,72.4,41
-1.4334,65,72.23,42
0.0892,12,71.94,43
-1.882,91,71.5,44
-2.0026,100,70.84,45
-2.7195,146,70.52,46
-0.9847,42,69.76,47
-2.329,119,69.69,48
-2.77,156,69.3,49
-2.8337,161,69.24,50
1.1194,4,68.84,51
0.185,9,68.45,52
-2.1468,105,67.8,53
-2.3559,121,67.75,54
-0.151,19,67.42,55
-1.3903,63,67.11,56
-0.2825,22,66.87,57
-0.6546,34,66.33,58
-1.0559,45,66.3,59
-1.2963,58,66.26,60
0.1522,10,66.01,61
-0.9052,38,65.64,62
-0.004,13,65.5,63
-0.3283,24,65.14,64
-1.8088,85,64.55,65
-1.3452,61,64.49,66
-2.8696,165,64.44,67
-1.8102,86,63.79,68
-1.0912,47,63.53,69
0.15,11,63.5,70
-1.5621,72,63.45,71
-1.9052,92,62.81,72
-1.7559,79,62.7,73
-1.6312,75,61.95,74
-2.7563,154,61.75,75
-2.9166,170,61.73,76
-1.7279,77,61.59,77
-1.6034,74,61.21,78
-1.9469,96,61.09,79
-1.1345,49,60.76,80
-0.5809,31,60.56,81
-1.3401,60,60.48,82
-1.4582,68,60.16,83
-2.71,145,60.0,84
-2.7422,152,59.98,85
-2.4383,125,59.87,86
-0.9353,40,59.18,87
-2.6826,141,57.77,88
-3.0625,179,57.49,89
-3.733,221,57.4,90
-2.7065,144,57.21,91
-0.9155,39,56.97,92
-2.9283,172,55.85,93
-1.8071,83,55.45,94
-2.1531,106,54.99,95
-1.8384,87,54.78,96
-3.1269,182,54.54,97
-3.3479,194,54.53,98
-2.0986,103,54.02,99
-1.9308,95,53.9,100
-1.7375,78,53.74,101
-2.6661,137,53.52,102
-2.8941,169,52.96,103
-4.163,249,52.04,104
-0.991,44,51.57,105
-1.9613,97,51.15,106
-2.7672,155,50.95,107
-3.3436,193,50.84,108
-2.3615,122,50.83,109
-1.9202,94,50.75,110
-1.8566,88,49.82,111
-2.857,164,49.74,112
-2.7341,149,49.55,113
-2.943,174,49.25,114
-1.8807,90,49.05,115
