Score,Score Rank,Percentile,Percentile Rank
2.5389,1,99.6,1
2.348,2,98.84,2
2.2014,3,98.74,3
1.5512,6,96.87,4
1.9461,4,96.31,5
0.2152,29,94.73,6
1.0776,13,94.66,7
1.1637,10,94.1,8
1.8388,5,93.9,9
1.1502,12,93.29,10
1.4396,8,91.81,11
0.9075,14,90.41,12
1.441,7,90.31,13
0.6932,16,90.18,14
0.2992,27,89.96,15
1.1628,11,89.89,16
-0.4864,56,88.51,17
-0.0071,34,88.25,18
0.4151,24,87.9,19
0.4601,23,87.36,20
-1.0968,80,86.86,21
-0.2257,46,86.31,22
-0.1393,38,86.28,23
-0.6945,65,85.09,24
-0.1837,43,84.56,25
-0.507,58,84.26,26
-0.166,42,83.89,27
-0.1934,44,83.89,27
-0.3832,50,83.49,29
-0.9653,75,82.31,30
-0.6248,62,80.84,31
-0.6572,63,80.79,32
-0.7655,68,80.77,33
0.0495,33,78.81,34
-0.4657,54,78.4,35
-1.4416,88,77.78,36
-0.3378,48,77.62,37
-0.3579,49,77.38,38
-0.5367,60,77.1,39
0.5608,20,77.07,40
-0.0733,35,76.12,41
-0.8524,70,76.11,42
-1.5009,92,75.09,43
-1.257,82,74.16,44
-0.2104,45,73.52,45
0.0513,32,72.25,46
0.8817,15,72.03,47
-0.8396,69,71.53,48
0.2927,28,71.35,49
0.4611,22,71.14,50
-1.2994,84,71.02,51
1.3409,9,70.72,52
0.5657,19,70.49,53
-0.9308,74,70.07,54
-2.8746,153,69.73,55
-0.4253,53,69.57,56
0.1343,30,69.38,57
0.5759,18,69.0,58
0.5128,21,68.64,59
-0.4886,57,68.4,60
-1.5674,95,68.1,61
0.1301,31,68.04,62
-1.004,76,67.45,63
0.3774,26,67.16,64
-2.4313,138,66.13,65
0.3893,25,65.89,66
-0.1473,40,65.71,67
-1.4032,87,65.66,68
-1.3637,86,65.54,69
-1.9556,118,64.31,70
-0.3251,47,63.75,71
-1.2819,83,63.69,72
-0.4179,52,63.54,73
-1.0121,78,63.28,74
-3.8428,200,63.18,75
-0.4113,51,63.07,76
-0.5091,59,62.79,77
-1.976,119,62.65,78
-0.1462,39,62.48,79
-0.468,55,62.14,80
-1.4468,89,62.08,81
-1.9817,120,61.78,82
-2.4963,141,61.55,83
-1.6935,102,61.44,84
-0.8666,71,61.43,85
-0.1274,37,61.32,86
-1.5219,93,61.25,87
-2.943,157,61.21,88
-0.121,36,60.34,89
-2.347,134,60.3,90
-1.5746,96,60.18,91
-2.837,151,58.75,92
-0.669,64,58.3,93
-1.2121,81,58.19,94
-2.2305,128,57.9,95
0.6111,17,56.99,96
-0.9198,73,56.31,97
-2.5141,143,55.83,98
-2.2508,129,55.68,99
-0.9099,72,55.1,100
-1.7702,107,54.92,101
-2.0852,122,54.86,102
-2.1838,127,54.83,103
-2.907,156,54.79,104
-1.8558,112,54.65,105
-4.5468,224,54.24,106
-3.9319,201,54.08,107
-1.6764,100,54.07,108
-1.5342,94,53.53,109
-2.0999,124,53.45,110
-1.4796,90,53.37,111
-1.8918,114,53.29,112
-0.7528,67,52.47,113
-1.778,109,51.76,114
-2.2826,130,51.42,115
-3.3788,175,51.26,116
-3.0017,160,49.93,117
-1.0118,77,49.81,118
-4.6372,231,49.58,119
-1.8427,111,49.47,120
-1.9377,117,48.72,121
-1.6992,103,48.67,122
-1.481,91,48.58,123
-1.8963,116,48.52,124
-2.6985,149,48.25,125
-1.0581,79,47.22,126
-2.3518,135,46.76,127
-2.5824,146,46.72,128
-4.1739,211,46.52,129
-3.0967,162,46.38,130
-4.645,232,46.17,131
-3.1329,163,46.16,132
-1.7318,106,45.91,133
-1.7764,108,45.74,134
-4.4249,221,45.1,135
-4.2788,215,45.02,136
-4.3783,218,44.95,137
-2.6833,148,44.86,138
-4.1694,210,44.81,139
-0.5796,61,44.03,140
-2.0745,121,43.59,141
-3.7752,196,43.56,142
-3.7495,192,43.32,143
-2.4183,137,43.29,144
-1.8812,113,43.22,145
-2.3187,132,43.13,146
-2.4164,136,42.86,147
-4.0053,203,42.53,148
-3.6576,188,42.52,149
-2.1448,125,42.52,149
-1.5895,97,42.23,151
-2.528,144,42.0,152
-2.8827,154,41.89,153
-3.7178,190,41.09,154
-2.4995,142,40.77,155
-6.23,277,40.58,156
-3.188,166,40.47,157
-4.0311,204,40.25,158
-4.1602,208,39.93,159
-5.1764,242,39.83,160
-1.3072,85,39.62,161
-2.3076,131,39.53,162
-2.4481,139,38.84,163
-2.9475,158,38.5,164
-3.3767,174,38.22,165
-0.1498,41,38.17,166
-2.8514,152,37.96,167
-3.4208,176,37.31,168
-5.3644,256,37.31,168
-3.5256,180,35.99,170
-3.7589,194,35.71,171
-2.997,159,34.92,172
-1.6848,101,34.39,173
-3.5745,182,34.12,174
-3.2224,170,34.07,175
-4.1628,209,33.94,176
-3.6501,187,33.5,177
-3.2667,172,33.34,178
-1.6035,98,33.04,179
-3.8122,199,32.99,180
-5.2933,249,32.81,181
-3.4499,179,32.76,182
-3.7636,195,32.75,183
-4.5968,228,32.39,184
-3.5292,181,32.1,185
-5.189,243,31.93,186
-5.1937,245,31.8,187
-2.5778,145,31.67,188
-2.6034,147,31.61,189
-2.7558,150,30.9,190
-0.7015,66,30.46,191
-1.8371,110,30.27,192
-2.4529,140,30.01,193
-5.8041,268,29.48,194
-3.9386,202,28.9,195
-3.4471,178,28.77,196
-4.413,220,28.65,197
-5.3047,251,28.23,198
-3.7957,198,28.2,199
-5.076,240,27.85,200
-3.7576,193,27.85,200
-3.1979,168,26.96,202
-4.6983,234,26.38,203
-4.6603,233,25.68,204
-1.6995,104,25.47,205
-5.0043,239,25.32,206
-4.231,212,25.12,207
-3.7776,197,24.68,208
-3.5746,183,24.34,209
-3.1385,164,24.1,210
-7.9037,302,23.88,211
-4.2665,214,23.75,212
-6.2501,279,23.55,213
-4.624,230,23.44,214
-3.682,189,22.88,215
-5.2476,247,22.73,216
-4.5561,225,22.46,217
-4.1412,207,22.16,218
-3.6111,186,22.04,219
-3.5933,184,21.86,220
-3.4337,177,20.82,221
-1.6567,99,20.73,222
-3.1996,169,20.19,223
-5.6373,265,20.16,224
-2.3198,133,19.83,225
-3.7337,191,19.78,226
-3.1916,167,19.38,227
-3.1464,165,19.15,228
-5.3232,253,18.62,229
-5.6117,262,18.24,230
-5.5753,260,17.96,231
-5.6328,264,17.32,232
-6.0421,273,17.31,233
-5.7748,267,17.13,234
-2.0939,123,17.11,235
-4.448,222,16.9,236
-6.17,276,16.83,237
-4.3433,216,16.35,238
-3.3529,173,16.23,239
-3.0863,161,16.05,240
-1.7162,105,15.88,241
-4.7706,236,15.75,242
-4.5879,227,15.4,243
-5.7372,266,15.32,244
-6.3523,283,15.21,245
-5.5821,261,15.21,245
-3.6048,185,15.16,247
-6.5726,289,15.12,248
-4.7367,235,15.11,249
-6.7857,292,14.38,250
-5.1308,241,14.11,251
-5.3734,257,14.11,251
-6.424,285,14.03,253
-3.2648,171,13.84,254
-6.6521,291,13.68,255
-5.227,246,13.3,256
-4.2383,213,13.07,257
-7.0115,293,13.05,258
-6.353,284,12.43,259
-4.3778,217,12.4,260
-7.2799,296,12.31,261
-6.0967,274,12.08,262
-6.4582,286,11.35,263
-5.5689,259,11.33,264
-7.7564,300,11.32,265
-6.3062,281,11.26,266
-5.2812,248,11.15,267
-4.0545,205,10.93,268
-5.336,255,10.73,269
-4.1132,206,10.25,270
-6.5261,287,10.17,271
-5.1919,244,9.95,272
-1.8921,115,9.64,273
-6.2826,280,9.52,274
-6.3511,282,9.09,275
-4.7819,237,8.45,276
-6.2476,278,8.45,276
-2.1683,126,7.39,278
-6.1284,275,7.3,279
-7.6854,299,7.28,280
-5.6302,263,6.94,281
-5.4605,258,6.72,282
-8.4026,305,6.67,283
-6.5307,288,6.62,284
-5.8896,270,6.35,285
-4.895,238,6.33,286
-2.9022,155,5.66,287
-5.3291,254,5.22,288
-5.9435,271,4.86,289
-4.5233,223,4.25,290
-8.4491,306,4.16,291
-8.1726,303,4.03,292
-5.8583,269,3.95,293
-5.3014,250,3.9,294
-4.5983,229,3.78,295
-4.4093,219,3.64,296
-7.4711,298,3.51,297
-5.3188,252,3.21,298
-4.5584,226,2.33,299
-7.8732,301,2.28,300
-7.1483,294,1.68,301
-5.9545,272,1.58,302
-7.4646,297,1.53,303
-8.2131,304,1.1,304
-8.4671,307,1.03,305
-6.5904,290,0.64,306
-9.3515,309,0.47,307
-10.9748,310,0.46,308
-7.275,295,0.2,309
-8.8641,308,0.06,310
