Score,Score Rank,Percentile,Percentile Rank
2.5557,3,99.61,1
2.4957,4,99.06,2
1.8458,9,97.54,3
2.3454,6,97.28,4
2.2607,7,97.13,5
2.7529,1,96.89,6
2.6026,2,95.69,7
1.874,8,94.45,8
1.326,12,94.33,9
1.546,10,93.19,10
0.4763,22,92.81,11
-0.2747,44,92.71,12
0.9574,15,92.58,13
1.359,11,92.57,14
-0.3016,45,92.13,15
0.6442,20,91.74,16
1.1383,13,90.38,17
0.2179,31,88.79,18
2.4233,5,87.56,19
-0.4734,51,87.15,20
-0.211,40,86.59,21
0.6065,21,86.33,22
-0.2184,41,85.26,23
0.6876,18,84.65,24
-0.2238,42,84.26,25
0.2284,29,83.81,26
-0.8499,61,83.35,27
0.0515,34,83.13,28
0.1762,32,82.84,29
-0.2652,43,81.04,30
-0.41,49,80.97,31
-0.749,60,80.94,32
-0.9102,64,80.88,33
0.3468,27,80.84,34
0.4389,24,80.01,35
-0.3622,47,79.78,36
0.4427,23,77.97,37
1.1345,14,76.89,38
-0.9656,67,75.71,39
-0.9451,66,75.5,40
-1.3756,81,74.4,41
-1.0489,69,74.17,42
0.2681,28,73.23,43
-0.6776,58,73.13,44
-0.1697,39,72.65,45
0.7757,17,71.47,46
0.4099,25,70.86,47
-1.4349,84,70.6,48
-0.9104,65,70.43,49
-0.6308,56,70.27,50
0.9096,16,70.24,51
-0.8878,63,70.19,52
-1.8693,97,68.74,53
0.387,26,68.57,54
-1.5105,86,68.22,55
0.1095,33,68.21,56
-1.3802,82,68.08,57
-0.4088,48,67.62,58
-2.5613,123,67.62,58
-0.335,46,67.28,60
0.2192,30,66.99,61
-1.4349,84,66.81,62
0.666,19,66.69,63
0.0453,35,66.62,64
-0.4761,52,66.55,65
-0.1016,37,64.63,66
-0.4323,50,64.36,67
-2.1721,110,63.77,68
-0.0849,36,63.55,69
-1.0195,68,63.14,70
-3.1684,151,62.82,71
-0.5499,54,62.3,72
-0.5205,53,62.28,73
-2.0282,104,61.81,74
-1.3535,80,61.32,75
-3.2896,162,61.27,76
-0.8589,62,60.89,77
-0.1189,38,60.41,78
-2.5525,120,60.41,78
-1.7434,94,60.4,80
-1.8859,98,59.93,81
-2.6206,128,59.87,82
-1.2829,76,59.63,83
-1.2243,75,58.09,84
-1.6713,91,57.96,85
-0.5636,55,57.25,86
-1.548,88,57.12,87
-1.9238,99,55.76,88
-2.8965,140,55.75,89
-1.8196,95,55.34,90
-1.0632,70,54.99,91
-1.1092,72,54.63,92
-2.7993,134,54.52,93
-1.408,83,54.33,94
-1.938,100,53.89,95
-2.6092,126,53.59,96
-1.6509,90,53.57,97
-1.5229,87,53.34,98
-0.7027,59,53.14,99
-3.2294,158,53.05,100
-1.079,71,52.6,101
-1.2105,74,51.01,102
-3.1587,149,50.82,103
-1.8665,96,50.36,104
-2.0343,105,50.18,105
-4.7014,220,48.74,106
-1.2864,77,48.61,107
-2.7216,129,47.88,108
-4.7625,224,47.09,109
-2.2334,112,46.9,110
-1.3138,79,46.51,111
-4.3549,204,46.34,112
-2.0518,107,45.66,113
-3.0522,146,45.4,114
-3.1947,155,45.28,115
-2.7443,130,44.66,116
-3.7229,179,44.16,117
-3.3691,166,44.12,118
-1.5523,89,44.02,119
-1.134,73,44.02,119
-2.7677,131,43.72,121
-2.0087,103,43.57,122
-2.8601,138,43.54,123
-1.68,92,43.51,124
-2.047,106,43.48,125
-3.7474,181,43.37,126
-2.3526,116,43.18,127
-4.877,231,43.13,128
-3.0303,142,42.96,129
-4.5273,213,42.26,130
-2.5816,125,42.11,131
-2.2685,114,41.69,132
-2.4807,118,41.51,133
-2.6135,127,41.5,134
-2.8002,135,41.07,135
-3.2004,156,40.68,136
-3.713,178,40.44,137
-4.7323,223,40.08,138
