Score,Score Rank,Percentile,Percentile Rank
2.6423,2,99.68,1
2.6547,1,99.53,2
2.1672,3,98.49,3
0.807,11,97.54,4
0.4956,18,95.88,5
1.2753,4,95.67,6
0.4421,21,91.57,7
1.1148,9,90.24,8
0.1971,32,90.15,9
0.6268,14,89.95,10
1.1373,8,89.67,11
0.5322,17,89.37,12
-0.0108,40,88.22,13
0.7047,13,88.2,14
1.2485,5,87.96,15
0.036,38,87.13,16
-1.0835,86,86.96,17
0.6121,16,86.51,18
-0.8304,72,85.52,19
0.0217,39,85.38,20
-0.677,63,85.3,21
0.0883,36,84.62,22
0.2524,28,84.43,23
-0.074,42,84.01,24
0.3862,23,83.54,25
0.2176,31,83.11,26
-0.9399,77,82.72,27
-0.4176,53,81.9,28
-0.2018,47,81.71,29
-0.6492,61,80.44,30
0.8705,10,80.27,31
-1.0383,85,80.09,32
-0.3667,51,79.86,33
0.1207,35,79.85,34
-0.5304,56,78.85,35
-0.1013,43,78.52,36
-0.0221,41,77.88,37
-1.0969,88,77.4,38
-0.8864,75,76.97,39
-0.9914,82,75.78,40
1.1377,7,74.53,41
-1.9736,129,74.31,42
-0.186,45,73.61,43
-1.2791,91,73.47,44
0.2925,26,73.09,45
-1.2093,90,72.75,46
-0.3521,50,71.87,47
0.1674,33,71.73,48
-1.3844,93,71.54,49
-0.8608,73,71.31,50
0.7506,12,71.09,51
0.4921,19,71.05,52
0.4391,22,71.01,53
-0.4882,54,71.01,53
-0.6004,59,70.79,55
-0.9599,80,70.75,56
-1.8293,119,70.55,57
0.1639,34,70.43,58
-0.7991,69,70.4,59
-2.8837,179,70.26,60
1.2242,6,69.95,61
-0.7743,67,69.81,62
-2.0402,133,69.79,63
-0.9552,79,69.4,64
-1.0149,84,69.28,65
0.6265,15,69.12,66
0.3278,24,69.04,67
0.3116,25,68.37,68
0.2711,27,68.26,69
0.4862,20,68.22,70
-2.5547,166,67.82,71
-1.5794,103,67.51,72
-0.7929,68,67.4,73
-1.7255,113,67.27,74
-1.8348,120,67.12,75
-2.9545,184,67.12,75
-0.6023,60,67.1,77
-2.3055,149,66.63,78
-2.0616,135,65.95,79
-1.5215,98,65.51,80
-0.9988,83,65.41,81
0.2451,29,65.21,82
-2.2015,143,64.99,83
-3.2792,200,64.92,84
-1.2035,89,64.7,85
-2.3509,154,64.35,86
-1.7023,110,64.31,87
-0.7132,65,64.29,88
-0.2062,48,64.02,89
-1.7045,111,63.83,90
-2.2286,146,63.65,91
-0.5275,55,63.63,92
-1.7764,115,63.42,93
-2.0234,132,63.33,94
-3.8396,227,63.23,95
0.0619,37,63.17,96
-0.4011,52,63.14,97
-1.088,87,62.89,98
-2.2037,144,62.2,99
-0.5985,58,62.0,100
-0.5975,57,61.89,101
-0.6643,62,61.75,102
-0.1885,46,61.55,103
-3.3015,202,61.54,104
-1.5854,104,61.3,105
-1.5594,100,60.48,106
-1.6825,109,60.32,107
-1.5642,101,60.21,108
-2.2042,145,60.11,109
-1.7836,116,59.68,110
-3.3966,205,59.05,111
-2.2977,148,59.03,112
-1.9729,128,58.47,113
-0.2848,49,58.46,114
-2.6937,170,57.48,115
-1.4329,95,57.26,116
