Score,Score Rank,Percentile,Percentile Rank
3.1866,4,99.65,1
2.5506,9,99.62,2
1.3848,32,99.3,3
1.2235,38,99.08,4
2.9184,6,98.96,5
3.2186,3,98.45,6
2.932,5,98.16,7
1.9128,20,97.99,8
2.6469,7,97.91,9
2.4619,11,96.99,10
1.4537,29,96.5,11
3.4068,2,96.3,12
1.6309,25,96.19,13
2.6051,8,96.08,14
3.4383,1,95.97,15
1.8372,23,95.93,16
2.293,14,95.69,17
2.0416,18,95.23,18
2.0944,17,95.06,19
0.5801,62,94.94,20
1.801,24,94.82,21
1.9814,19,94.81,22
0.8829,50,94.38,23
0.0182,98,93.85,24
2.3249,12,93.52,25
1.1757,41,93.5,26
1.8819,22,93.49,27
0.7073,57,93.46,28
0.9287,49,93.08,29
1.2986,36,92.72,30
1.9008,21,92.37,31
0.5329,64,92.2,32
2.4706,10,92.03,33
2.2029,16,91.87,34
1.3732,33,91.59,35
0.8591,51,91.15,36
0.4645,68,91.11,37
0.9851,45,91.02,38
1.2164,39,90.4,39
1.5161,27,90.03,40
1.3508,34,89.92,41
1.4684,28,89.72,42
1.1892,40,89.72,42
0.2882,81,89.64,44
-0.2857,116,89.64,44
1.4373,31,89.35,46
0.9683,47,89.3,47
1.1554,42,89.24,48
0.9706,46,89.03,49
1.2918,37,88.97,50
0.728,56,88.96,51
1.3221,35,88.88,52
1.4502,30,88.8,53
0.8233,53,88.62,54
-0.1255,111,88.61,55
0.4088,72,88.53,56
0.0465,94,88.48,57
0.2468,83,88.37,58
0.7379,54,88.31,59
2.2182,15,88.23,60
0.675,59,88.18,61
0.3202,78,88.06,62
0.4363,70,88.02,63
0.5091,65,88.0,64
0.2969,80,87.46,65
-0.4652,128,87.37,66
-0.6525,141,87.36,67
0.0256,97,87.35,68
0.9427,48,87.19,69
-0.0633,102,87.19,69
0.1475,88,87.18,71
0.5387,63,86.47,72
1.0788,44,86.45,73
0.4791,67,86.2,74
0.7,58,85.94,75
0.0469,93,85.84,76
1.5382,26,85.72,77
-0.8106,149,85.63,78
0.6069,61,85.22,79
-1.1199,163,85.17,80
0.736,55,85.16,81
0.0982,90,85.13,82
-0.8925,152,85.03,83
2.3064,13,84.83,84
0.0477,92,84.82,85
-0.0425,101,84.81,86
0.4469,69,84.74,87
0.046,95,84.46,88
0.3635,76,84.08,89
-0.4572,127,83.67,90
-0.2116,114,83.55,91
-0.4695,129,83.44,92
-0.0047,99,83.41,93
-1.1958,170,83.33,94
0.1732,85,83.28,95
0.382,74,83.18,96
-0.3275,119,82.88,97
-1.2122,171,82.69,98
0.1721,86,82.63,99
-0.6115,138,82.62,100
-0.6963,145,82.61,101
-0.6944,144,82.52,102
-0.4351,125,82.25,103
-0.0869,104,82.24,104
0.4122,71,82.11,105
-0.5907,136,82.03,106
-0.6872,143,82.03,106
-2.0391,214,81.62,108
-0.5052,132,81.18,109
-0.7011,146,80.64,110
0.3755,75,80.18,111
-0.0813,103,80.11,112
-1.3477,179,79.93,113
0.8344,52,79.88,114
-0.9878,155,79.75,115
-2.2761,220,79.64,116
-0.9971,156,79.62,117
-0.6607,142,79.6,118
-0.4299,124,79.16,119
-0.5056,133,78.59,120
-1.0089,158,78.47,121
-0.4768,130,78.42,122
-2.013,212,78.01,123
-1.0142,159,78.0,124
-1.268,175,77.99,125
-0.6263,139,77.94,126
-1.5941,196,77.69,127
-0.8787,151,77.6,128
-0.2987,117,77.48,129
-0.374,121,77.45,130
0.1791,84,77.25,131
-1.2874,177,77.13,132
-1.16,168,76.67,133
0.1131,89,76.46,134
-1.384,183,76.44,135
-0.9763,154,76.29,136
-1.2358,173,76.28,137
0.5073,66,76.23,138
-1.1261,164,76.06,139
0.6356,60,76.01,140
-0.5995,137,75.9,141
0.2617,82,75.51,142
-1.085,162,75.47,143
-1.1576,167,74.92,144
0.0271,96,74.75,145
-0.1204,109,74.42,146
-1.4705,188,74.39,147
-0.1129,106,74.35,148
-0.348,120,73.88,149
0.3165,79,73.68,150
1.0813,43,73.56,151
-0.6504,140,73.44,152
-0.3232,118,72.55,153
-0.1724,113,72.54,154
-0.1136,107,71.86,155
0.3426,77,71.72,156
-1.0833,161,71.6,157
-1.7688,203,71.58,158
-0.1406,112,71.32,159
-0.4862,131,71.06,160
0.4058,73,70.55,161
-1.8459,205,69.89,162
-0.7269,147,69.7,163
-2.6017,233,69.49,164
-0.2525,115,69.33,165
-0.3997,122,68.29,166
-1.5422,194,68.01,167
-2.1856,218,67.78,168
-0.016,100,67.57,169
-0.7921,148,67.54,170
