Score,Score Rank,Percentile,Percentile Rank
3.3858,1,98.69,1
2.5343,4,98.64,2
2.5652,2,97.85,3
2.5386,3,97.79,4
2.5289,5,96.89,5
1.9665,8,96.69,6
2.3375,6,96.46,7
1.7781,12,95.93,8
1.7273,13,94.86,9
1.7158,14,94.42,10
1.2388,25,94.38,11
1.531,17,93.89,12
1.9409,10,93.89,12
1.9917,7,93.37,14
1.5223,18,92.29,15
1.6814,15,91.42,16
1.2985,23,91.4,17
1.3658,22,91.29,18
1.8157,11,90.78,19
0.7174,39,90.33,20
1.6781,16,90.31,21
1.4882,20,90.11,22
0.9979,29,89.45,23
1.9428,9,88.57,24
0.8941,33,87.77,25
1.2485,24,87.24,26
0.8698,37,87.09,27
0.9403,31,86.72,28
1.5197,19,86.23,29
0.6006,43,85.73,30
0.5722,44,85.69,31
0.9901,30,84.9,32
1.1468,28,82.75,33
1.2249,27,82.01,34
0.8797,35,80.94,35
0.4285,49,80.63,36
0.6939,40,80.48,37
0.5691,46,79.6,38
0.8979,32,78.2,39
1.449,21,77.9,40
0.7848,38,77.81,41
1.2309,26,76.95,42
-0.049,64,76.58,43
0.8832,34,76.25,44
0.2182,55,74.39,45
0.4381,48,72.84,46
0.6384,42,72.44,47
0.2611,53,72.1,48
0.3488,51,69.66,49
0.0706,61,69.23,50
0.4891,47,69.01,51
0.6565,41,68.92,52
0.8737,36,67.96,53
0.194,57,67.5,54
-0.3735,72,67.24,55
0.2221,54,67.04,56
0.3567,50,66.75,57
0.5713,45,66.4,58
0.2956,52,65.99,59
0.1761,58,63.86,60
-0.4016,74,62.99,61
-0.4807,75,62.07,62
0.21,56,61.94,63
-0.3697,71,61.9,64
0.1541,59,61.57,65
-0.2293,70,60.98,66
-0.0521,65,59.58,67
0.0511,63,58.52,68
0.1197,60,58.46,69
-0.1116,69,56.84,70
-0.0988,67,55.63,71
-0.1109,68,54.7,72
-0.5254,76,54.08,73
-0.4011,73,50.41,74
-0.098,66,50.32,75
0.055,62,49.95,76
-0.7902,77,36.94,77
-1.8862,78,18.91,78
