Score,Score Rank,Percentile,Percentile Rank
1.0995,4,99.42,1
0.6467,7,99.38,2
1.1035,3,98.81,3
0.7254,6,97.9,4
0.2777,11,97.8,5
1.4565,1,96.83,6
0.5588,9,96.5,7
0.3011,10,96.2,8
0.571,8,96.09,9
-1.9801,121,93.41,10
-0.3905,23,93.39,11
-0.1894,18,93.1,12
-1.3737,76,92.94,13
-0.6494,31,91.52,14
-0.0529,15,91.51,15
-1.3639,75,91.07,16
-0.5128,29,90.59,17
0.8969,5,88.85,18
-1.4379,83,88.65,19
-1.1205,53,88.62,20
-0.9286,46,88.3,21
-1.598,96,88.12,22
-0.3533,20,86.42,23
0.0402,13,85.13,24
-0.3837,22,84.28,25
-0.6519,32,83.98,26
-0.693,35,83.58,27
-1.4606,86,83.44,28
-1.0303,48,82.05,29
-0.0821,17,81.83,30
-1.0341,49,81.72,31
-1.3049,68,81.57,32
-2.4162,155,81.19,33
-1.5348,91,81.14,34
-2.665,182,80.99,35
-0.8645,43,80.51,36
-2.7082,186,80.38,37
-0.0622,16,80.22,38
-0.7074,36,79.75,39
-0.4049,24,79.32,40
1.2555,2,78.7,41
-1.0117,47,77.75,42
-1.171,55,76.89,43
-1.4148,78,75.59,44
-2.4106,154,75.43,45
-2.6192,177,74.75,46
-1.6808,101,74.73,47
-2.1419,130,74.42,48
-0.29,19,74.35,49
-2.2959,142,74.19,50
-1.2187,59,73.45,51
-1.0364,50,73.41,52
-1.4196,79,73.38,53
-2.4172,156,73.32,54
-1.9402,113,73.17,55
-1.9766,119,73.16,56
-1.4326,80,72.25,57
-0.8908,45,72.14,58
-3.2928,230,72.11,59
-1.6657,99,71.73,60
-0.8337,42,71.67,61
-0.7619,40,71.55,62
-2.1536,133,71.34,63
-0.6019,30,70.98,64
-1.6309,97,70.78,65
-0.7424,38,70.64,66
-1.9409,114,70.45,67
-2.0546,126,69.62,68
-1.2494,62,68.83,69
-2.495,164,68.67,70
-2.1506,132,68.55,71
-1.4352,82,68.52,72
-2.0621,127,68.11,73
-2.3069,145,67.53,74
-2.0053,122,67.5,75
-1.4659,87,67.43,76
-1.3371,72,67.31,77
-1.4782,89,67.07,78
-2.1426,131,67.01,79
-1.3332,70,66.52,80
-1.2056,57,66.45,81
-2.5056,165,66.42,82
-1.3502,74,66.26,83
-1.268,65,65.85,84
-2.7488,190,65.62,85
-3.0271,213,65.33,86
-1.6736,100,64.92,87
-0.7501,39,64.9,88
-1.8667,109,64.88,89
-2.5971,174,64.78,90
0.1425,12,64.72,91
-2.3066,144,64.69,92
-3.3236,231,64.67,93
-0.4181,25,64.47,94
-1.1987,56,64.26,95
-0.5096,28,64.23,96
-1.3294,69,64.19,97
-2.801,195,64.03,98
-1.2146,58,63.61,99
-2.2626,139,63.49,100
-1.8897,111,63.17,101
-2.4873,163,63.16,102
0.0288,14,62.71,103
-0.4256,26,62.64,104
-2.6906,183,62.18,105
-1.3357,71,61.8,106
-1.5195,90,61.58,107
-1.4703,88,61.17,108
-3.6694,244,60.89,109
-2.5611,171,60.73,110
-1.6477,98,60.5,111
-0.8704,44,60.36,112
-1.3424,73,60.28,113
-1.0659,51,60.2,114
-0.7732,41,59.98,115
-1.395,77,59.82,116
-2.0073,123,59.54,117
-1.8772,110,59.27,118
-1.7326,104,59.2,119
-2.2835,141,59.12,120
-1.2377,61,58.68,121
-2.4518,158,58.39,122
-1.2628,64,58.28,123
