Score,Score Rank,Percentile,Percentile Rank
-4.0778,236,28.38,232
-4.72,265,28.16,233
-3.2472,194,28.0,234
-3.8467,224,27.93,235
-3.3504,202,27.86,236
-4.9217,272,27.72,237
-4.7801,267,27.4,238
-2.7322,170,27.34,239
-4.1469,239,27.21,240
-3.7825,220,27.09,241
-2.8986,181,26.97,242
-6.9617,306,26.79,243
-4.5555,259,26.35,244
-4.9345,274,26.33,245
-3.7561,217,26.32,246
-3.2777,197,26.31,247
-3.994,229,25.75,248
-5.5904,293,25.68,249
-3.2982,199,25.63,250
-3.4054,205,25.52,251
-5.1402,282,25.48,252
-3.0759,189,24.92,253
-5.0594,280,24.76,254
-3.2852,198,24.73,255
-4.77,266,24.6,256
-3.7237,215,24.6,256
-4.5884,263,24.38,258
-3.6133,211,24.24,259
-3.7537,216,24.16,260
-4.2551,243,23.96,261
-5.9128,297,23.63,262
-3.2694,195,23.56,263
-3.4418,207,23.43,264
-3.9251,227,23.37,265
-4.948,276,22.95,266
-5.5886,292,22.42,267
-3.2714,196,21.75,268
-5.2423,284,21.7,269
-6.3927,298,21.52,270
-4.9245,273,21.37,271
-3.4226,206,21.02,272
-3.5692,209,20.73,273
-4.551,258,20.59,274
-4.8377,270,20.11,275
-6.5551,302,19.78,276
-4.3505,248,19.22,277
-4.062,233,18.53,278
-4.5883,262,18.43,279
-5.4925,290,17.95,280
-3.7891,221,17.64,281
-4.0227,231,17.47,282
-4.5277,257,17.22,283
-3.9182,226,16.77,284
-5.105,281,16.58,285
-4.183,240,16.56,286
-6.7964,305,16.43,287
-5.0496,278,16.31,288
-4.0946,237,15.83,289
-6.4997,300,15.65,290
-6.4215,299,14.97,291
-5.8571,296,14.78,292
-4.0716,235,14.0,293
-4.9374,275,13.48,294
-6.5852,303,13.25,295
-6.7384,304,13.06,296
-4.4086,250,12.99,297
-6.5379,301,12.74,298
-7.3943,309,12.59,299
-7.4385,310,12.06,300
-5.6824,294,10.7,301
-1.9444,112,10.42,302
-5.196,283,10.3,303
-3.7682,219,9.5,304
-7.2295,308,8.67,305
-4.2194,242,6.76,306
-6.9999,307,5.52,307
-2.8509,176,4.66,308
-4.425,251,3.47,309
-5.0562,279,3.17,310
