index,Score,Score Rank,Percentile,Percentile Rank
PLK4,1.9959,4,99.09,1
TBK1,2.17,2,99.0,2
VRK1,0.5906,24,98.87,3
ZAK,1.2124,11,98.36,4
TLK2,2.0703,3,97.79,5
IKKE,1.7196,6,97.7,6
CHAK2,1.7906,5,97.62,7
NEK5,0.882,17,97.61,8
MEKK1,0.7268,21,97.54,9
VRK2,0.015,50,97.29,10
NEK7,1.262,10,96.74,11
CK1D,2.5824,1,96.5,12
ULK1,0.4646,30,96.23,13
OSR1,-0.0402,53,96.09,14
NEK6,1.4583,7,96.03,15
ULK2,0.8435,18,95.87,16
CHAK1,1.1243,12,95.75,17
STLK3,-1.3638,145,95.73,18
PDHK1,0.7731,20,95.53,19
MST2,-0.2282,64,94.74,20
NEK9,0.8426,19,94.31,21
MEKK2,0.0547,49,94.27,22
CK1G1,0.9887,13,94.15,23
TAO3,0.5564,25,93.85,24
YSK4,0.3446,36,93.85,24
MAP3K15,-0.4374,81,93.0,26
ANKRD3,0.3425,37,92.82,27
PDHK4,0.4785,29,92.75,28
CK1E,0.8934,16,92.2,29
MLK4,0.1221,46,91.55,30
MEKK3,-0.2021,62,91.08,31
CK1A,0.6395,23,91.05,32
DLK,0.3298,40,91.04,33
IKKB,0.9367,14,90.95,34
NEK11,-0.6216,96,90.71,35
IKKA,0.5401,26,90.48,36
BCKDK,-0.1176,60,89.94,37
PKN3,1.3839,8,89.68,38
COT,1.3801,9,89.56,39
GRK1,0.8963,15,89.48,40
CAMKK2,-1.3124,143,89.29,41
BRAF,-0.4438,83,88.99,42
GCK,-0.7121,102,88.12,43
MLK3,-0.0757,58,87.98,44
PKCD,0.6574,22,87.89,45
CK1G3,0.3767,34,87.84,46
PKCA,0.3997,31,87.81,47
TTBK2,0.1995,43,87.8,48
QSK,0.3367,38,87.75,49
PLK1,0.3922,33,87.35,50
MARK4,0.3367,38,87.33,51
TAO1,-1.6721,184,87.32,52
MST1,-0.7948,107,87.29,53
MEK5,-0.9363,118,86.5,54
NEK2,0.1877,44,86.49,55
MARK2,-0.1403,61,86.2,56
NIM1,-0.0746,57,86.05,57
MLK1,-0.0884,59,85.84,58
YANK3,0.5017,27,85.03,59
TGFBR2,-0.2303,65,84.73,60
MLK2,-0.0152,51,84.22,61
YSK1,-1.7294,188,83.95,62
MYO3A,-2.3867,236,83.9,63
TTK,-2.3145,229,83.49,64
WNK4,-0.2856,70,83.45,65
GRK4,0.3968,32,83.33,66
KHS1,-1.2743,139,83.21,67
MINK,-1.6616,182,83.14,68
PKCZ,-0.0556,55,83.04,69
PKCB,-0.3319,72,83.01,70
PKCG,-0.4244,77,82.4,71
EEF2K,-1.5392,164,82.33,72
WNK2,0.1646,45,82.17,73
SIK,-0.4246,78,82.16,74
PKCH,-0.5789,92,82.14,75
MASTL,-0.423,76,82.1,76
YANK2,-0.4384,82,82.07,77
BMPR2,0.1144,47,81.48,78
TNIK,-1.3996,152,81.47,79
KHS2,-1.4893,159,81.43,80
STK33,-1.2152,134,81.38,81
RIPK1,-0.257,69,81.37,82
NEK1,-1.5824,167,81.32,83
MARK3,-0.9279,117,81.0,84
NEK8,-1.3639,146,80.52,85
GRK3,0.3185,41,80.43,86
PKCT,-0.8879,115,80.28,87
RIPK2,-2.2325,220,79.48,88
CK1G2,-0.4094,75,79.42,89
CAMKK1,-1.6047,174,79.16,90
MEK2,-2.4597,238,78.99,91
NEK4,-1.4852,158,78.8,92
PLK2,-0.584,93,78.58,93
HGK,-1.7296,189,78.39,94
SGK3,-0.3395,73,78.34,95
NEK3,-1.6707,183,78.31,96
AURA,-1.2781,140,77.89,97
RIPK3,-0.8043,108,77.79,98
ASK1,-2.9625,269,77.6,99
MEKK6,-2.6833,253,77.5,100
GRK5,0.0741,48,77.29,101
MARK1,-1.2916,142,76.99,102
