index,Score,Score Rank,Percentile,Percentile Rank
CK1G1,3.7539,1,99.78,1
TTBK1,2.3872,4,99.73,2
CK1G3,3.171,2,99.07,3
CK1G2,3.1605,3,98.68,4
CK1A,1.8122,5,97.57,5
RIPK2,0.0964,20,96.66,6
MEKK3,0.4248,12,96.31,7
TTBK2,0.9754,8,95.42,8
DLK,0.6983,10,95.05,9
IRAK1,0.3375,17,94.89,10
CK1D,1.6045,6,92.9,11
GCN2,0.2391,18,91.72,12
MLK3,0.3568,15,91.67,13
ULK1,-0.2216,26,91.59,14
MLK4,0.008,22,90.83,15
GRK3,1.2581,7,90.66,16
GRK2,0.9251,9,90.62,17
MEKK6,-1.5452,74,90.46,18
YANK2,-0.1085,23,86.66,19
PERK,-0.5337,37,86.53,20
CK1A2,0.6893,11,86.49,21
SNRK,-0.8682,49,86.16,22
BMPR1A,0.415,13,85.26,23
MLK1,-0.1316,24,85.24,24
RIPK1,0.0507,21,85.22,25
RIPK3,-0.2953,28,84.63,26
CK1E,0.3392,16,84.21,27
ULK3,-0.9096,50,83.73,28
ULK2,-0.3043,29,83.55,29
ZAK,-1.0298,54,83.41,30
MAP3K15,-1.382,71,83.29,31
GRK1,0.3861,14,82.97,32
PAK2,-0.3332,30,82.77,33
PDHK1,-0.1723,25,82.38,34
PLK4,-1.5481,75,82.08,35
ASK1,-2.584,117,81.69,36
CHAK1,-0.5633,39,80.86,37
IKKE,-0.7719,46,80.71,38
VRK2,-1.4174,72,80.02,39
TBK1,-0.489,34,79.81,40
STLK3,-3.7212,169,79.59,41
PLK2,-0.5391,38,79.01,42
HRI,-1.0504,55,77.3,43
STK33,-1.5647,76,77.04,44
GRK6,0.1957,19,76.58,45
IKKA,-0.5672,40,76.34,46
ALK2,-0.5988,41,75.99,47
MEKK2,-1.3369,69,75.24,48
IRE2,-1.1871,61,74.35,49
GRK4,-0.2727,27,73.83,50
MEK2,-2.7183,123,73.68,51
ACVR2A,-0.6471,42,73.45,52
PAK6,-1.655,81,73.21,53
IRAK4,-1.183,60,73.1,54
PAK3,-1.1592,59,71.87,55
EEF2K,-2.3488,111,71.42,56
PLK1,-0.7997,47,71.14,57
GRK7,-1.6856,84,70.0,58
VRK1,-2.8903,133,69.39,59
BCKDK,-1.5841,77,69.18,60
ACVR2B,-0.9626,52,69.1,61
ALPHAK3,-2.6297,119,69.08,62
TLK1,-1.6012,78,68.85,63
SMG1,-1.2866,65,68.58,64
MEK5,-1.7039,87,67.21,65
YANK3,-0.5075,36,66.87,66
ALK4,-0.7377,44,66.66,67
BMPR1B,-0.7679,45,66.58,68
MEKK1,-1.6872,85,66.48,69
MEK1,-1.3038,67,66.29,70
AURA,-2.3027,108,65.35,71
GRK5,-0.6644,43,65.2,72
PLK3,-1.2379,64,65.16,73
MAPKAPK5,-2.2527,107,63.63,74
PAK4,-3.5054,160,63.54,75
PAK1,-1.6585,82,63.45,76
IKKB,-0.8422,48,63.27,77
PDHK4,-0.5048,35,63.02,78
TTK,-3.8767,179,62.66,79
DSTYK,-1.1872,62,62.44,80
ANKRD3,-1.2896,66,61.71,81
PKG1,-4.5095,209,61.1,82
HUNK,-1.6336,80,60.81,83
PRP4,-1.0717,56,59.6,84
YSK4,-2.0047,93,58.78,85
PHKG2,-3.6317,165,58.68,86
TGFBR2,-1.7783,89,58.21,87
TGFBR1,-0.9625,51,58.14,88
NEK3,-3.0603,137,56.67,89
NEK9,-1.4882,73,56.6,90
BRAF,-2.0518,97,55.76,91
BRSK2,-3.0734,139,55.76,91
PAK5,-3.9823,181,54.92,93
NIM1,-2.0516,96,54.83,94
P70S6K,-3.0803,141,54.81,95
SKMLCK,-2.8705,131,54.8,96
CHK2,-3.3053,153,54.33,97
ALK1,-1.1472,58,53.2,98
IRE1,-2.3291,110,53.15,99
RAF1,-1.0874,57,52.16,100
BRSK1,-3.3053,153,50.93,101
CK2A1,-4.0911,190,50.83,102
NEK11,-2.7761,126,50.7,103
BMPR2,-0.4384,33,50.52,104
YSK1,-4.0305,184,49.12,105
TAK1,-3.744,170,49.01,106
PINK1,-1.6328,79,48.19,107
P90RSK,-1.9276,92,48.14,108
KIS,-1.9026,91,48.0,109
P38D,-2.0963,98,47.87,110
MLK2,-1.6937,86,47.83,111
PKCH,-3.1498,144,47.64,112
CAMKK1,-3.1929,148,47.56,113
ERK2,-1.8504,90,46.94,114
TLK2,-2.151,101,45.33,115
SSTK,-3.8191,175,44.88,116
NEK4,-3.4703,158,44.81,117
WNK3,-2.3239,109,44.18,118
SMMLCK,-2.97,134,44.1,119
DCAMKL2,-2.7429,125,44.08,120
CAMK4,-3.1796,146,43.7,121
RSK2,-2.2486,106,43.57,122
MASTL,-1.6792,83,43.26,123
MNK2,-2.7152,122,42.1,124
TSSK2,-2.7102,121,41.71,125
NEK8,-3.3266,155,41.61,126
MYLK4,-3.379,157,40.77,127
CHAK2,-2.2249,103,40.73,128
CDK8,-2.4951,114,39.91,129
ERK1,-2.5865,118,39.54,130
PRPK,-0.3546,31,39.5,131
CAMK1A,-4.8313,223,38.97,132
WNK4,-3.0848,142,38.6,133
MARK1,-4.0576,187,37.94,134
PKN1,-4.9298,228,37.82,135
PHKG1,-3.8284,176,37.79,136
AURB,-4.0847,189,37.48,137
BUB1,-4.334,199,37.26,138
CDK7,-2.4995,115,36.72,139
PKCT,-4.4158,204,36.59,140
HIPK3,-2.243,105,36.42,141
NEK2,-3.0739,140,35.95,142
CK2A2,-4.9107,226,35.95,142
CDK19,-3.282,152,35.68,144
PKG2,-4.2798,196,35.68,144
P38G,-2.7771,127,35.58,146
CAMLCK,-1.3422,70,35.18,147
NEK7,-3.0099,136,34.01,148
MNK1,-4.0276,183,33.81,149
RSK3,-3.2385,151,33.68,150
CAMK1B,-1.2373,63,33.56,151
DYRK3,-3.3495,156,33.13,152
HASPIN,-4.978,230,32.91,153
JNK3,-2.1336,100,32.69,154
P38B,-2.8832,132,32.24,155
RSK4,-3.7809,173,31.14,156
PKR,-2.4848,113,31.08,157
ERK7,-3.8357,178,30.47,158
PKCD,-3.1221,143,30.25,159
JNK1,-2.7865,128,29.48,160
PKCE,-5.0612,236,29.47,161
ERK5,-2.0391,95,28.37,162
JNK2,-2.5234,116,28.11,163
NLK,-1.3227,68,27.94,164
MARK2,-4.3851,200,27.1,165
FAM20C,-5.1509,242,26.98,166
MOS,-0.9986,53,26.56,167
MELK,-4.2444,194,26.18,168
MYO3A,-6.2371,278,26.07,169
MAPKAPK3,-3.7747,172,25.81,170
GSK3B,-0.4284,32,24.8,171
HIPK1,-3.2158,149,24.73,172
MINK,-5.0616,237,24.58,173
PKN2,-3.9845,182,24.32,174
PRKD3,-4.038,186,24.32,174
HIPK4,-2.8631,130,24.03,176
NEK1,-5.1125,238,23.84,177
HGK,-4.6055,216,23.77,178
CAMK2G,-1.7482,88,23.73,179
MSK2,-4.0798,188,23.19,180
