index,Score,Score Rank,Percentile,Percentile Rank
BIKE,4.5419,3,99.96,1
AAK1,4.9141,1,99.91,2
GAK,2.5022,19,99.64,3
IRAK1,2.0459,23,99.53,4
PBK,3.7013,8,99.43,5
MPSK1,2.8704,11,98.53,6
SRPK3,4.4826,4,98.12,7
KHS2,1.5957,29,98.11,8
PIM2,4.0817,7,98.02,9
SRPK2,4.6582,2,98.01,10
CHK1,2.7374,13,97.72,11
HPK1,1.0811,40,97.69,12
TNIK,1.0143,43,97.49,13
PASK,2.9575,10,97.28,14
DMPK1,2.3941,21,97.22,15
RIPK1,1.597,28,96.97,16
KHS1,0.9055,45,96.95,17
LRRK2,0.2772,68,96.93,18
SRPK1,4.4092,5,96.91,19
MINK,0.3583,62,96.87,20
PDK1,0.732,49,96.84,21
HGK,0.4459,59,96.47,22
SBK,4.3426,6,96.39,23
NIK,1.5879,30,95.86,24
TAK1,-0.3514,99,95.85,25
PIM1,3.0869,9,95.55,26
GCK,0.3499,63,95.46,27
CHK2,2.7666,12,95.19,28
SMMLCK,1.5765,31,95.11,29
PKR,0.4608,58,95.01,30
MYO3B,-0.471,106,94.68,31
NEK1,-0.205,87,94.41,32
CLK3,2.6465,16,94.11,33
CAMK1D,2.6729,14,94.04,34
TAO2,-0.2401,89,93.49,35
DAPK1,1.5536,32,93.4,36
CDKL1,2.5193,18,92.99,37
HRI,0.1664,72,92.92,38
DAPK3,1.0753,41,92.87,39
CRIK,1.1932,38,92.7,40
CAMK2D,1.548,33,92.25,41
BRAF,-0.1849,85,91.96,42
PIM3,1.7923,24,91.77,43
ICK,2.6504,15,91.74,44
CAMK1A,1.457,34,91.57,45
ALPHAK3,-0.514,108,91.34,46
CDKL2,2.2319,22,91.07,47
CAMK1G,0.884,46,90.63,48
DAPK2,1.3233,35,90.5,49
AKT2,1.6913,25,90.4,50
CAMK1B,1.6228,27,90.19,51
VRK2,-0.8296,122,89.96,52
MOK,2.5721,17,89.25,53
ANKRD3,0.0153,78,88.98,54
DCAMKL2,0.623,53,88.71,55
MYLK4,0.9153,44,88.68,56
CAMLCK,1.282,36,88.6,57
MST1,-0.6885,115,88.33,58
MEKK6,-1.8028,177,88.19,59
YANK3,0.7632,48,88.12,60
RIPK2,-1.3787,151,88.04,61
MYO3A,-1.9209,188,87.9,62
NEK3,-0.8779,125,87.82,63
AKT3,0.3633,61,87.77,64
MRCKB,0.2231,71,87.56,65
EEF2K,-1.0443,129,87.38,66
AKT1,0.61,54,87.29,67
TAO1,-1.6938,172,87.17,68
CDKL5,1.639,26,87.09,69
ROCK2,-0.2045,86,86.87,70
MAK,2.4994,20,86.64,71
MAPKAPK5,-0.1149,82,86.29,72
SGK1,0.7313,50,85.85,73
YANK2,-0.1735,84,85.85,73
CAMK2A,1.2331,37,85.34,75
DCAMKL1,0.7091,51,85.25,76
SKMLCK,0.0712,75,85.15,77
MAPKAPK2,0.8382,47,85.11,78
ROCK1,-0.92,126,84.97,79
TSSK3,0.2392,70,84.36,80
CAMK2B,1.0435,42,84.26,81
HASPIN,-1.535,162,84.23,82
ASK1,-2.3474,214,84.02,83
LOK,-1.0939,135,83.99,84
PKN1,-0.7641,119,83.97,85
MEK5,-1.0623,131,83.97,85
MEK1,-0.8088,120,83.87,87
PINK1,0.315,66,83.73,88
BUB1,-0.5742,109,83.55,89
NUAK2,0.4259,60,83.35,90
MELK,0.0714,74,83.32,91
MRCKA,-0.4558,104,83.31,92
FAM20C,-0.4038,101,83.25,93
CAMK4,-0.1658,83,83.17,94
YSK1,-1.8778,184,82.25,95
IRE2,-0.5957,110,82.24,96
MAPKAPK3,0.3178,65,82.18,97
TTK,-2.4645,218,81.98,98
WNK4,-0.5059,107,80.81,99
NEK4,-1.3669,149,80.5,100
MSK1,-0.243,90,80.33,101
ALK1,-0.0043,79,79.73,102
MEKK2,-1.1141,136,79.72,103
CAMKK2,-2.2271,208,78.99,104
LKB1,-1.2476,142,78.36,105
MEKK3,-1.0568,130,78.11,106
IRE1,-0.8265,121,78.11,106
PRKD3,-0.3162,95,78.01,108
TSSK2,-0.2826,94,77.67,109
CLK2,1.1134,39,77.26,110
RSK2,-0.0715,80,77.08,111
P70S6K,-1.156,139,76.94,112
WNK1,-0.2279,88,76.33,113
CAMKK1,-1.7897,176,75.91,114
MSK2,-0.9759,128,75.85,115
PKACA,-1.6269,168,75.25,116
AMPKA1,-0.4403,103,75.23,117
P90RSK,-0.3258,96,75.09,118
SLK,-1.9896,195,74.74,119
CDK10,0.5378,55,74.67,120
MEKK1,-1.334,148,74.35,121
VRK1,-2.6131,229,74.33,122
PKCE,-1.6135,167,74.11,123
AMPKA2,-0.648,112,73.99,124
PKCI,-1.5141,160,73.89,125
WNK3,-0.7265,117,73.68,126
TSSK4,-0.3365,98,73.66,127
NEK8,-1.7622,175,73.61,128
TAO3,-1.1308,138,73.02,129
NEK5,-1.3042,145,72.8,130
IRAK4,-1.2092,141,72.75,131
CDK4,0.6539,52,72.58,132
CLK4,0.3192,64,72.43,133
DRAK1,-1.0768,132,71.22,134
DYRK3,0.5183,56,71.17,135
CLK1,0.0321,77,71.15,136
P70S6KB,-0.6566,113,70.91,137
PKN2,-1.1605,140,69.86,138
CDK6,0.2869,67,69.65,139
RSK3,-1.1295,137,69.48,140
MST2,-2.5183,222,69.36,141
RIPK3,-1.375,150,68.82,142
CDK5,0.1502,73,68.24,143
CDK13,0.496,57,67.53,144
PKACB,-1.9656,191,67.49,145
PKG1,-3.9418,282,66.68,146
CDK14,-0.0973,81,66.05,147
CDK12,-0.3297,97,65.84,148
NUAK1,-1.8573,180,65.77,149
PRKX,-2.4877,219,65.47,150
PKG2,-2.2261,207,65.08,151
STLK3,-4.8112,295,64.87,152
RSK4,-1.6902,171,64.13,153
STK33,-2.4365,217,63.92,154
CDK9,-0.6886,116,63.8,155
MASTL,-1.0888,133,63.62,156
BMPR2,-0.2561,92,63.52,157
PHKG2,-3.2289,259,63.34,158
AURB,-2.4884,220,63.11,159
PKCZ,-1.5678,165,63.09,160
SGK3,-1.7043,173,63.07,161
PERK,-1.8576,181,63.03,162
DLK,-0.861,124,62.83,163
ALK2,-1.4571,154,62.72,164
TSSK1,-1.4865,156,62.69,165
CDK3,-1.8247,178,62.39,166
NDR1,-1.5058,158,62.35,167
MEK2,-3.2209,257,61.9,168
PKACG,-1.9878,194,61.6,169
HIPK1,0.2561,69,61.28,170
PKCD,-1.4182,152,61.14,171
HIPK3,0.0354,76,61.08,172
PAK2,-2.0716,199,61.08,172
MST4,-1.5662,164,60.41,174
DYRK4,-0.244,91,60.16,175
YSK4,-1.9531,190,60.0,176
IKKA,-1.5138,159,59.69,177
BRSK2,-2.8314,238,59.17,178
MNK1,-2.3001,211,59.01,179
PRKD2,-1.7498,174,58.98,180
DYRK1A,-0.463,105,58.14,181
QIK,-2.239,209,58.06,182
BRSK1,-2.8421,239,57.99,183
GRK6,-0.8394,123,57.98,184
AURA,-2.7739,236,57.89,185
WNK2,-1.2975,144,57.83,186
OSR1,-3.7206,276,57.7,187
P38A,-0.6338,111,57.65,188
PKCA,-2.1628,203,57.55,189
MST3,-2.1903,204,57.04,190
SNRK,-3.3754,268,56.59,191
DYRK1B,-0.7405,118,56.4,192
PKCT,-2.9787,250,56.03,193
MLK3,-1.9143,187,56.01,194
DYRK2,-0.4008,100,55.83,195
ZAK,-2.5665,224,54.58,196
MLK4,-2.7406,235,54.33,197
NEK11,-2.6453,230,54.04,198
ERK7,-2.3104,212,53.29,199
PAK6,-3.3014,262,52.75,200
PKCB,-2.6775,233,52.44,201
SSTK,-3.2808,260,52.05,202
CDK1,-1.8539,179,52.04,203
PHKG1,-2.9108,246,51.26,204
PAK1,-2.4182,216,50.87,205
MAP3K15,-3.1693,255,50.6,206
ULK3,-3.3375,266,49.85,207
DSTYK,-1.8813,185,49.51,208
CAMK2G,-1.0893,134,49.2,209
AURC,-3.2928,261,49.17,210
ATR,-0.6814,114,48.38,211
CDK2,-2.4975,221,48.09,212
JNK2,-1.5184,161,48.05,213
QSK,-2.9584,248,47.91,214
MARK1,-3.4776,272,47.37,215
NLK,-0.4298,102,47.17,216
P38B,-2.0612,196,46.57,217
SIK,-3.4152,270,46.22,218
PKCG,-3.1762,256,45.52,219
PAK3,-2.8934,242,45.06,220
PKCH,-3.3325,263,44.74,221
DNAPK,-1.9815,193,44.2,222
HIPK2,-2.3,210,43.34,223
P38G,-2.3614,215,43.32,224
ALK7,-1.3094,146,42.77,225
MLK1,-2.1495,202,42.18,226
PLK2,-3.3342,264,42.16,227
PAK5,-4.9831,298,41.73,228
RAF1,-1.4942,157,40.89,229
LATS2,-2.8823,241,40.47,230
ATM,-2.0986,201,39.98,231
IKKB,-2.0613,197,39.23,232
BCKDK,-2.9039,243,39.18,233
PLK3,-2.7172,234,38.96,234
MNK2,-2.9069,244,38.96,234
CDK16,-3.483,273,38.83,236
MLK2,-2.0641,198,38.81,237
BMPR1B,-2.0849,200,38.15,238
ERK5,-1.627,169,37.88,239
PRKD1,-2.6471,231,37.29,240
JNK3,-1.9439,189,37.21,241
PAK4,-5.6415,303,36.19,242
TLK1,-3.3353,265,35.69,243
PRP4,-2.5682,225,34.5,244
NEK2,-3.1679,254,34.47,245
GRK3,-1.911,186,34.38,246
GRK5,-1.976,192,33.86,247
NEK9,-2.5952,228,33.79,248
ALK4,-1.5914,166,33.54,249
CK2A1,-5.1156,300,33.35,250
GSK3B,-0.2638,93,32.8,251
MARK2,-4.0576,285,32.67,252
HIPK4,-2.1912,206,32.43,253
JNK1,-2.6555,232,31.84,254
PLK1,-2.8126,237,31.79,255
CDK7,-2.8451,240,31.71,256
COT,-1.56,163,31.68,257
ACVR2A,-2.5824,227,31.48,258
MARK3,-4.4618,292,30.72,259
P38D,-3.3526,267,30.52,260
CDK18,-3.7053,275,29.49,261
CDK17,-3.888,280,29.21,262
ERK2,-2.9686,249,28.56,263
TGFBR2,-3.1593,253,28.38,264
CHAK1,-4.0327,284,28.32,265
MOS,-0.95,127,28.31,266
BMPR1A,-3.7867,277,27.79,267
PDHK4,-1.2756,143,27.41,268
MARK4,-3.2234,258,27.0,269
TGFBR1,-2.1904,205,26.76,270
PKN3,-1.8742,183,25.78,271
CHAK2,-2.9505,247,25.62,272
CK2A2,-5.4832,301,25.61,273
GRK4,-2.5397,223,24.72,274
ACVR2B,-3.0114,251,23.91,275
PDHK1,-1.8631,182,23.78,276
CK1A2,-1.4612,155,23.42,277
GRK2,-1.422,153,22.57,278
CDK19,-4.203,290,22.46,279
LATS1,-3.0264,252,21.51,280
NDR2,-3.8805,279,21.45,281
GRK7,-4.9652,297,20.88,282
SMG1,-2.339,213,20.76,283
ERK1,-4.0709,286,18.57,284
PLK4,-5.8798,304,18.49,285
NIM1,-4.0905,288,18.17,286
CK1G3,-3.4276,271,18.13,287
HUNK,-4.0109,283,14.48,288
