index,Score,Score Rank,Percentile,Percentile Rank
BMPR1A,-2.286,230,57.06,197
MEKK2,-2.1151,218,56.73,198
PDK1,-2.2574,226,56.3,199
NEK3,-3.1088,266,55.8,200
MEKK3,-2.0404,211,55.51,201
TAK1,-3.4463,281,55.43,202
HIPK2,-0.9594,142,55.41,203
BMPR1B,-1.3656,164,55.22,204
GAK,-2.7812,256,55.21,205
CDKL2,-1.3741,166,55.09,206
YANK3,-0.9973,145,54.29,207
PERK,-2.2435,224,54.18,208
DYRK1A,-0.9404,139,53.89,209
DYRK1B,-1.139,149,52.79,210
RIPK1,-1.9544,206,52.59,211
ALK1,-1.1746,152,52.39,212
SRPK2,-1.6892,186,52.21,213
LKB1,-2.5349,242,51.89,214
GSK3B,0.1261,69,51.13,215
HASPIN,-3.8944,287,50.79,216
STK33,-3.2192,272,50.62,217
CDK10,-2.4292,235,50.59,218
PKCB,-2.8184,258,50.26,219
GRK6,-1.2032,156,50.02,220
ASK1,-4.7718,301,49.58,221
NLK,-0.3484,103,48.88,222
ANKRD3,-1.759,194,48.83,223
CDK7,-1.711,188,48.52,224
CDK5,-2.3055,231,48.2,225
ZAK,-2.8522,261,47.45,226
OSR1,-4.3059,295,47.27,227
ICK,-3.0245,264,47.04,228
CDK12,-2.2461,225,46.98,229
ALPHAK3,-3.8971,288,46.8,230
YANK2,-2.2427,223,46.74,231
CDK14,-2.1599,220,46.41,232
GCN2,-2.4924,237,46.31,233
CAMK2A,-1.7649,195,46.28,234
PLK1,-2.1186,219,45.62,235
MLK1,-2.0086,209,45.44,236
PINK1,-1.7723,196,45.25,237
P38A,-1.634,182,45.17,238
ALK2,-2.2761,228,45.02,239
SRPK1,-1.6572,183,44.72,240
CAMKK2,-3.9044,289,44.6,241
CAMK2D,-2.0245,210,44.39,242
CDK13,-1.5034,174,44.08,243
MAK,-2.5861,245,43.91,244
LATS1,-1.6591,184,43.89,245
LATS2,-2.6916,251,43.68,246
PKR,-2.0642,213,43.6,247
DYRK4,-1.9724,208,43.28,248
DYRK2,-1.5973,178,43.22,249
NEK7,-2.5976,247,41.84,250
NEK5,-2.8142,257,41.2,251
ERK1,-2.502,238,40.78,252
MOK,-2.9203,263,40.55,253
NEK6,-2.6377,248,38.7,254
NEK9,-2.3643,232,38.41,255
CDK17,-3.2868,276,38.41,255
BRAF,-2.7172,253,38.36,257
CAMK2B,-2.6673,250,38.31,258
TGFBR1,-1.7431,192,38.06,259
DSTYK,-2.533,241,37.98,260
DRAK1,-2.5145,240,37.74,261
CDKL5,-1.9117,204,37.32,262
PKN3,-1.4032,168,37.16,263
LRRK2,-3.5301,282,37.03,264
EEF2K,-4.1127,292,36.15,265
MASTL,-1.8991,203,35.57,266
P38B,-2.7123,252,35.47,267
CDK9,-2.8887,262,35.34,268
CDK19,-3.3096,278,35.26,269
CDK18,-3.2558,275,35.2,270
PBK,-5.2104,305,34.71,271
JNK2,-2.2233,222,34.42,272
FAM20C,-4.6064,300,33.97,273
CAMKK1,-3.9193,290,33.72,274
GRK1,-1.7245,190,33.29,275
BIKE,-5.1007,303,32.3,276
MLK3,-3.0413,265,31.96,277
CDK16,-4.0334,291,31.52,278
GRK5,-2.0818,215,31.26,279
CAMK2G,-1.558,176,30.83,280
AAK1,-6.2099,310,30.75,281
ERK2,-2.8329,259,30.71,282
CDKL1,-1.422,170,30.56,283
CDK4,-3.7653,285,30.21,284
GRK7,-4.4582,297,28.62,285
ULK2,-3.1792,270,28.59,286
CDK8,-3.1246,267,28.31,287
ERK5,-2.0461,212,28.23,288
DLK,-1.8752,202,28.09,289
P38G,-3.202,271,27.45,290
CDK6,-4.1321,293,27.36,291
MPSK1,-3.5512,283,26.89,292
MLK2,-2.64,249,26.21,293
GSK3A,-0.7312,124,26.07,294
GRK4,-2.4914,236,25.7,295
COT,-2.0877,217,22.54,296
CK2A2,-5.7023,307,21.77,297
MLK4,-4.5414,299,21.65,298
CK2A1,-5.7953,308,20.98,299
VRK1,-5.2799,306,19.34,300
ULK1,-4.5356,298,19.13,301
CDK3,-6.176,309,19.02,302
P38D,-4.1761,294,18.41,303
JNK1,-3.4383,280,18.29,304
CDK1,-3.8628,286,17.73,305
VRK2,-3.2295,273,16.15,306
CDK2,-4.3117,296,13.54,307
ERK7,-5.0411,302,12.39,308
PRP4,-3.6881,284,10.19,309
JNK3,-3.3443,279,9.11,310
