index,Score,Score Rank,Percentile,Percentile Rank
ICK,-2.4546,197,52.54,168
BRSK1,-3.2113,231,52.45,169
ATR,-0.6039,75,52.37,170
IKKA,-1.9067,164,52.02,171
CAMK2B,-1.7814,154,51.43,172
NLK,-0.2349,62,51.26,173
PLK4,-3.7374,257,50.89,174
IRE2,-2.6198,205,50.31,175
CLK1,-1.6788,146,50.27,176
MNK2,-2.2279,182,50.11,177
CK1A2,-0.759,84,47.97,178
NEK9,-1.9307,165,47.3,179
JNK2,-1.6243,144,46.23,180
TGFBR2,-2.3354,192,46.17,181
TLK2,-2.15,174,45.35,182
CLK4,-1.7547,152,45.33,183
STK33,-3.5573,252,44.87,184
CDK14,-2.3144,188,44.76,185
MLK2,-1.8191,159,44.74,186
CLK3,-1.3427,127,44.0,187
CK1G2,-2.2452,184,43.84,188
MAPKAPK5,-3.4743,247,43.84,188
BCKDK,-2.7154,208,43.63,190
PKN3,-1.1642,106,43.21,191
TTBK2,-2.4777,200,43.15,192
ALK4,-1.3608,129,42.91,193
PKCZ,-2.828,216,42.72,194
CDK4,-2.8458,217,42.38,195
MARK3,-3.7622,258,42.2,196
PLK1,-2.2937,187,42.04,197
CDK10,-3.3442,238,41.32,198
CDKL2,-2.1772,176,41.27,199
ERK7,-3.2142,232,40.65,200
MPSK1,-2.7924,211,39.91,201
DLK,-1.5297,137,39.66,202
MSK2,-3.2237,233,39.11,203
NUAK1,-3.4602,245,38.85,204
ACVR2B,-2.3996,194,38.75,205
MAPKAPK2,-3.3234,237,36.85,206
MARK4,-2.7258,209,36.76,207
CHAK2,-2.4081,195,36.66,208
NUAK2,-2.3249,189,36.65,209
MAK,-3.3851,240,36.47,210
MOK,-3.4149,243,35.63,211
CDK6,-3.4637,246,35.56,212
MEKK1,-2.9203,221,35.32,213
ALK1,-1.8025,156,33.48,214
PDHK1,-1.6139,143,32.99,215
HIPK3,-2.5818,204,32.72,216
P38A,-2.3372,193,32.7,217
PERK,-3.2017,230,32.68,218
CAMK2A,-2.5558,202,32.49,219
IRE1,-3.5527,251,32.05,220
TSSK3,-4.771,284,31.19,221
CDK5,-3.5205,250,31.11,222
PDHK4,-1.202,110,30.3,223
ALK7,-1.8362,160,30.03,224
ERK2,-3.0143,225,27.85,225
MLK3,-3.2816,236,27.26,226
LATS2,-3.765,259,26.98,227
ALK2,-3.0498,226,26.53,228
IKKB,-2.783,210,26.37,229
MLK1,-2.9442,222,25.58,230
SRPK2,-3.395,241,25.17,231
P38B,-3.2477,235,24.91,232
CDK9,-3.6784,255,24.22,233
YANK3,-2.0807,171,24.2,234
ERK5,-2.2248,181,24.17,235
ACVR2A,-2.9128,220,23.75,236
DYRK3,-4.1494,273,23.7,237
GRK6,-2.4696,199,23.21,238
PIM3,-2.6578,207,22.91,239
BMPR2,-0.822,89,22.22,240
HIPK1,-3.4587,244,22.14,241
CDK7,-3.6013,253,21.47,242
CDKL5,-2.8666,219,20.7,243
CDKL1,-1.8109,157,20.2,244
DSTYK,-3.7354,256,19.74,245
NDR2,-4.0408,267,19.72,246
CK1G1,-3.9431,265,19.09,247
DYRK1A,-3.8054,260,18.87,248
JNK3,-2.7995,215,18.12,249
NEK7,-4.0427,268,17.74,250
CDK2,-4.0601,269,17.7,251
NIM1,-4.1704,275,17.06,252
SRPK3,-3.6111,254,16.58,253
ATM,-3.2351,234,16.42,254
MASTL,-2.5791,203,16.33,255
ULK2,-3.988,266,15.75,256
CDK16,-5.389,292,15.56,257
MLK4,-5.0119,286,15.42,258
CDK3,-6.5007,305,15.03,259
ERK1,-4.398,277,15.03,259
CK1D,-4.7701,283,14.66,261
HIPK4,-3.871,261,13.3,262
PLK3,-4.441,278,12.89,263
CAMK2G,-2.1385,173,12.78,264
BMPR1A,-4.653,279,12.44,265
CDK18,-5.4463,294,12.07,266
GSK3B,-0.7196,82,11.96,267
JNK1,-3.8765,262,11.92,268
CDK17,-5.3343,291,11.92,268
COT,-2.9594,223,11.54,270
SRPK1,-4.2763,276,10.95,271
PLK2,-5.7474,296,10.48,272
CLK2,-5.2444,289,10.17,273
TGFBR1,-3.0748,227,9.74,274
PINK1,-3.9079,263,9.51,275
GRK1,-2.8461,218,9.38,276
P38D,-5.0149,287,8.65,277
CDK12,-5.2044,288,8.41,278
ULK1,-5.5419,295,8.34,279
DYRK1B,-5.3895,293,7.69,280
GRK7,-6.2306,303,7.56,281
MTOR,-3.0138,224,7.4,282
GRK5,-3.4132,242,6.18,283
HIPK2,-6.413,304,5.89,284
P38G,-4.7588,282,5.87,285
LATS1,-4.7427,281,5.78,286
DYRK2,-4.8777,285,5.48,287
FAM20C,-7.9684,307,5.24,288
PRP4,-4.1377,272,4.36,289
GCN2,-6.1971,302,4.18,290
CK1E,-3.5177,249,4.06,291
HUNK,-5.2774,290,3.98,292
GRK4,-4.1693,274,3.56,293
GRK2,-2.2347,183,3.42,294
CDK13,-3.9352,264,3.11,295
DYRK4,-6.0945,300,2.97,296
NEK6,-5.9077,298,2.47,297
BMPR1B,-4.0866,270,2.39,298
GRK3,-4.0979,271,2.25,299
CDK19,-6.9584,306,2.08,300
PRPK,-1.3006,124,1.38,301
CDK8,-5.9423,299,1.27,302
CK1A,-5.8523,297,1.03,303
KIS,-8.3822,309,0.92,304
GSK3A,-2.7932,212,0.78,305
CK2A1,-8.1923,308,0.6,306
CDC7,-4.7042,280,0.56,307
CDK1,-6.136,301,0.29,308
MOS,-2.7961,214,0.29,308
CK2A2,-8.7721,310,0.13,310
