Score,Score Rank,Percentile,Percentile Rank
4.4237,1,99.84,1
3.4852,3,99.68,2
2.5044,5,99.59,3
3.8063,2,99.13,4
2.0171,7,98.81,5
2.0641,6,98.35,6
2.6986,4,97.57,7
1.8199,10,97.09,8
1.4953,14,96.9,9
1.3324,16,96.77,10
0.9171,27,96.69,11
1.1227,20,96.22,12
1.9584,8,95.65,13
1.2345,18,95.24,14
0.9754,23,94.86,15
0.5607,39,94.77,16
0.9195,26,94.72,17
1.5846,11,94.7,18
1.9172,9,94.32,19
0.8101,32,94.16,20
-0.266,75,93.81,21
0.6529,36,93.23,22
0.1211,57,92.78,23
-0.1843,70,92.32,24
-0.558,89,92.16,25
-2.3629,217,91.49,26
0.2808,49,89.91,27
0.8731,30,89.88,28
0.0171,62,89.57,29
0.1348,54,89.52,30
-1.4567,154,89.34,31
0.4105,44,89.02,32
-0.9415,120,88.46,33
0.3272,48,88.45,34
0.9643,24,87.25,35
-1.0068,125,87.11,36
-1.9586,194,86.9,37
0.1145,58,86.82,38
-0.1801,69,86.33,39
1.0364,22,86.19,40
0.1228,56,85.96,41
0.5333,40,84.91,42
-1.8454,182,84.62,43
-0.4739,82,84.39,44
-0.1149,66,83.96,45
0.5967,38,83.84,46
0.1264,55,83.62,47
-0.0907,65,82.91,48
1.0946,21,82.52,49
-0.3656,80,82.52,49
0.3677,46,82.23,51
-0.651,96,81.94,52
-0.8525,111,81.9,53
-0.4779,83,81.75,54
-0.8128,107,81.7,55
0.6801,35,81.66,56
0.5006,42,80.88,57
0.0901,59,80.87,58
1.399,15,80.71,59
0.9141,28,80.67,60
0.0125,64,80.21,61
0.4471,43,80.09,62
-1.7993,178,79.92,63
-0.3114,77,79.91,64
-0.2573,73,79.39,65
0.0533,60,79.33,66
0.2272,50,79.12,67
0.1382,53,78.91,68
-0.6583,98,78.86,69
-0.4595,81,78.66,70
-2.7804,236,78.34,71
-1.7296,173,78.3,72
0.3867,45,78.28,73
-0.7099,99,78.25,74
-0.8061,106,77.97,75
-1.9415,190,77.6,76
-0.6033,93,77.27,77
0.0454,61,77.2,78
-1.2513,137,77.11,79
-1.0144,126,76.75,80
-1.4163,150,76.65,81
-0.3072,76,76.24,82
0.0128,63,76.22,83
-0.5208,87,76.07,84
-1.5317,159,75.96,85
1.5685,12,75.92,86
-2.4434,220,75.42,87
-1.1215,131,75.39,88
-0.9176,119,74.83,89
0.7131,34,74.53,90
-0.3144,78,74.33,91
-0.8153,108,74.04,92
-1.4191,151,73.96,93
-0.2131,72,73.45,94
-0.584,92,73.44,95
-0.7999,105,73.4,96
-0.6564,97,73.32,97
-1.2209,136,73.24,98
-0.7313,100,72.95,99
-2.1792,209,72.87,100
1.5266,13,72.81,101
-1.478,155,72.22,102
0.8978,29,72.11,103
-0.5308,88,72.05,104
-1.3151,143,72.0,105
-1.8249,180,71.77,106
-0.7914,104,71.72,107
0.5255,41,71.51,108
0.8721,31,71.26,109
-0.9621,122,70.97,110
-1.2524,138,70.69,111
-0.9798,124,70.66,112
-1.3555,145,70.54,113
-1.3841,146,70.47,114
-0.7583,101,70.44,115
-1.9532,192,70.23,116
0.9633,25,70.08,117
-1.6228,166,69.93,118
1.2027,19,69.8,119
1.2956,17,69.54,120
-1.5688,163,69.51,121
-0.8746,115,69.46,122
-0.8749,116,69.28,123
-1.2859,142,69.17,124
0.5969,37,68.78,125
-1.0163,127,68.63,126
-0.488,85,68.42,127
-0.4934,86,68.11,128
0.184,51,68.08,129
-1.5572,162,67.66,130
-0.9695,123,67.4,131
-1.956,193,67.35,132
-2.6356,231,67.19,133
-1.7362,175,67.11,134
-3.3754,263,66.93,135
-0.167,68,66.62,136
-0.2583,74,66.37,137
-3.0241,247,66.37,137
-2.0622,200,66.37,137
-1.9223,189,66.21,140
-1.2697,139,66.19,141
-2.2809,214,65.99,142
-1.3904,147,65.79,143
-2.0856,202,65.52,144
-3.0369,249,65.45,145
-1.6313,167,65.36,146
-0.8562,114,65.11,147
-0.8946,117,64.59,148
-0.7831,103,64.43,149
-2.1403,207,64.38,150
-1.6824,169,64.2,151
-2.4206,218,64.19,152
-2.5279,224,63.81,153
-1.8396,181,63.44,154
-3.5165,268,63.42,155
-4.0628,282,63.29,156
-1.8144,179,63.25,157
-3.0638,250,63.14,158
-0.5652,90,63.01,159
-0.3234,79,62.89,160
-1.4472,153,62.65,161
-0.1327,67,62.62,162
-1.944,191,62.52,163
-3.4341,265,62.41,164
-0.4807,84,62.36,165
-2.7836,237,62.28,166
-4.3995,293,62.19,167
0.3552,47,61.89,168
-2.5452,225,61.51,169
-1.8966,186,61.34,170
-1.1523,132,61.14,171
-0.7764,102,60.99,172
-3.3394,260,60.93,173
-2.1288,206,60.85,174
-1.4011,149,60.71,175
-1.8668,184,60.67,176
0.779,33,60.59,177
-2.577,226,60.5,178
-1.7436,176,60.36,179
-2.1097,203,60.24,180
-1.4835,156,59.95,181
-2.6127,229,59.8,182
-2.2235,211,59.79,183
-2.8979,240,59.78,184
-1.0598,128,59.74,185
-1.062,129,59.4,186
-2.205,210,59.38,187
-2.4392,219,59.25,188
-2.4912,223,59.19,189
-0.8251,109,59.15,190
-1.5282,158,58.96,191
-0.8978,118,58.95,192
-0.6435,94,58.8,193
-2.7258,234,58.72,194
-0.6505,95,58.69,195
-1.3964,148,58.58,196
-3.4657,266,58.35,197
-0.1853,71,57.93,198
-2.9564,244,57.91,199
-1.8477,183,57.61,200
-1.7168,172,57.33,201
-2.696,233,57.01,202
-2.7453,235,56.4,203
-2.2558,213,56.35,204
-0.8555,113,56.3,205
-1.4445,152,56.29,206
-1.8963,185,56.25,207
-3.9434,279,56.23,208
-2.362,216,56.22,209
-3.0269,248,56.17,210
-1.5419,160,55.96,211
-2.926,241,55.78,212
-2.8898,239,55.47,213
-2.8252,238,55.1,214
-3.6648,272,54.74,215
-0.8554,112,54.73,216
-1.0983,130,54.67,217
-1.9064,187,53.78,218
-1.7312,174,53.76,219
-2.0611,199,53.1,220
-1.6819,168,52.97,221
0.1606,52,52.76,222
-2.0443,198,52.68,223
-0.5784,91,52.39,224
-1.9742,197,52.38,225
-2.4745,221,51.9,226
-1.9136,188,51.88,227
-3.2553,257,51.65,228
-1.6878,170,51.62,229
-3.1018,251,51.45,230
-1.9722,196,51.31,231
-1.3231,144,51.09,232
-1.176,133,50.95,233
-1.511,157,50.61,234
-3.3199,259,49.99,235
-1.2087,135,49.91,236
-0.9522,121,49.74,237
-3.5766,270,49.58,238
-1.7866,177,49.12,239
-4.1045,284,48.91,240
-4.1281,288,48.91,240
-4.5811,299,48.88,242
-3.5067,267,48.88,242
-4.8573,304,48.87,244
-3.5742,269,48.73,245
-1.9655,195,48.71,246
-4.1152,285,48.35,247
-4.1164,286,47.62,248
-4.488,294,47.53,249
-3.2518,255,47.51,250
-3.3432,261,47.39,251
-0.8339,110,47.06,252
-5.226,307,46.55,253
-1.2791,140,46.25,254
-4.118,287,46.17,255
-2.1231,204,46.13,256
-2.6518,232,46.07,257
-3.8638,276,46.03,258
-4.5533,298,45.83,259
-2.6002,228,45.37,260
-3.2243,254,45.33,261
-3.6004,271,45.26,262
